,name,github_id,description,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,projectrank,show,projectrank_placing,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,contributor_count,trending,dependent_project_count,github_dependent_project_count,updated_github_id,labels,new_addition,gitlab_id,gitlab_url
158,NobbZ/nixos-config,NobbZ/nixos-config,An example of NixOS system configuration with home-manager integration.,nix-configurations,https://github.com/NobbZ/nixos-config,https://github.com/NobbZ/nixos-config,MIT,2020-10-28 15:25:22,2026-03-08 21:17:16,2026-03-08 21:17:15,5216.0,231.0,6.0,2.0,1511.0,11.0,4.0,266,14,True,3,,,,,,9.0,,,,,,,,
159,dix,bloxx12/dix,A blazingly fast tool to diff Nix related things.,command-line-tools,https://github.com/faukah/dix,https://github.com/faukah/dix,GPL-3.0,2025-05-04 12:13:11,2026-02-22 21:51:30,2026-02-22 21:50:51,232.0,63.0,6.0,2.0,42.0,,13.0,237,14,True,2,2026-01-31 21:39:02,1.4.2,,,12.0,7.0,,2.0,2.0,faukah/dix,,,,
160,cached-nix-shell,xzfc/cached-nix-shell,A `nix-shell` replacement that uses caching to open subsequent shells quickly.,development,https://github.com/xzfc/cached-nix-shell,https://github.com/xzfc/cached-nix-shell,Unlicense,2019-09-18 14:23:00,2024-11-24 23:00:19,2024-06-23 18:47:25,182.0,,15.0,6.0,7.0,6.0,22.0,229,14,False,2,2024-06-23 19:21:14,0.1.6,,,3.0,6.0,,8.0,8.0,,,,,
161,nix-idea,NixOS/nix-idea,Nix plugin for the IntelliJ IDEA IDE.,editors-and-ides,https://github.com/NixOS/nix-idea,https://github.com/NixOS/nix-idea,Apache-2.0,2016-09-08 08:44:59,2026-01-04 06:31:03,2026-01-04 06:25:27,312.0,3.0,28.0,42.0,60.0,14.0,24.0,211,14,True,3,2025-07-04 13:35:36,0.4.0.18,317.0,2.0,28.0,17.0,,,,,,,,
162,nix4vscode,nix-community/nix4vscode,Nix overlay for VSCode.,editors-and-ides,https://github.com/nix-community/nix4vscode,https://github.com/nix-community/nix4vscode,Apache-2.0,2023-09-07 13:34:42,2026-03-08 02:48:25,2026-03-08 02:48:10,1340.0,189.0,12.0,3.0,323.0,,,121,14,True,3,2025-03-24 04:06:13,nix4vscode-v0.0.12,217.0,11.0,12.0,15.0,,,,,,,,
163,flake-edit,a-kenji/flake-edit,Edit your flake inputs with ease.,development,https://github.com/a-kenji/flake-edit,https://github.com/a-kenji/flake-edit,MIT,2023-10-06 21:58:29,2026-03-02 03:54:13,2026-03-02 03:54:05,1092.0,181.0,1.0,1.0,413.0,13.0,25.0,53,14,True,2,2026-01-19 20:26:02,0.3.3,,,6.0,4.0,-1.0,,,,,,,
164,Misterio77/nix-starter-configs,Misterio77/nix-starter-configs,A few simple Nix Flake templates for getting started with NixOS + home-manager.,nix-configurations,https://github.com/Misterio77/nix-starter-configs,https://github.com/Misterio77/nix-starter-configs,CC0-1.0,2021-12-16 20:29:26,2025-11-15 14:24:20,2025-11-15 14:23:54,102.0,,167.0,49.0,25.0,23.0,50.0,3599,13,True,3,,,,,,14.0,,,,,,,,
165,tvix,tvlfyi/tvix,Tvix - A Rust implementation of Nix.,programming-languages,https://github.com/tvlfyi/tvix,https://github.com/tvlfyi/tvix,GPL-3.0,2023-02-01 16:57:15,2026-02-09 15:08:52,2026-02-09 14:56:26,3230.0,13.0,15.0,18.0,3.0,,,1001,13,True,2,,,,,,51.0,,,,,['rust'],,,
166,nixGL,nix-community/nixGL,A wrapper tool for nix OpenGL application.,nixos-modules,https://github.com/nix-community/nixGL,https://github.com/nix-community/nixGL,MIT,2017-09-16 10:18:56,2025-11-02 13:41:21,2025-11-02 13:41:20,181.0,,127.0,14.0,83.0,76.0,60.0,948,13,True,3,,,,,,30.0,,,,,,,,
167,musnix,musnix/musnix,Do real-time audio work in NixOS.,nixos-modules,https://github.com/musnix/musnix,https://github.com/musnix/musnix,BSD-3-Clause,2014-12-22 20:57:55,2026-03-01 02:13:50,2026-01-01 01:53:22,420.0,1.0,65.0,16.0,161.0,14.0,56.0,867,13,True,3,,,,,,38.0,,,,,,,,
168,NixOps4,nixops4/nixops4,Deploy with Nix and manage resources declaratively.,deployment-tools,https://github.com/nixops4/nixops4,https://github.com/nixops4/nixops4,LGPL-2.1,2024-03-18 14:07:58,2026-03-02 00:57:55,2026-02-03 23:37:37,521.0,90.0,16.0,32.0,110.0,15.0,12.0,833,13,True,3,,,,,,8.0,,,,,,,,
169,nixos-cosmic,lilyinstarlight/nixos-cosmic,Flake for using COSMIC on NixOS.,nixos-modules,https://github.com/lilyinstarlight/nixos-cosmic,https://github.com/lilyinstarlight/nixos-cosmic,MIT,2024-02-27 23:59:10,2026-03-08 23:28:04,2025-07-04 01:16:54,949.0,,47.0,8.0,711.0,43.0,115.0,658,13,True,3,,,,,,20.0,,,,,,,,
170,nixpkgs-mozilla,mozilla/nixpkgs-mozilla,Mozilla overlay for Nixpkgs.,overlays,https://github.com/mozilla/nixpkgs-mozilla,https://github.com/mozilla/nixpkgs-mozilla,MIT,2016-06-16 22:14:00,2025-11-04 11:34:56,2025-11-04 11:34:56,274.0,,128.0,14.0,203.0,51.0,92.0,577,13,True,2,,,,,,66.0,,,,,,,,
171,noogle,nix-community/noogle,Nix function exploring.,discovery,https://github.com/nix-community/noogle,https://github.com/nix-community/noogle,MIT,2022-11-26 09:35:35,2026-03-08 03:28:55,2026-03-07 03:15:21,1188.0,34.0,20.0,2.0,1269.0,21.0,45.0,532,13,True,2,,,,,1.0,19.0,,,,,,,,
172,donovanglover/nix-config,donovanglover/nix-config,"NixOS configuration with Nix Flakes, Home Manager, Stylix, and Hyprland.",nix-configurations,https://github.com/donovanglover/nix-config,https://github.com/donovanglover/nix-config,MIT,2017-10-21 09:31:19,2025-12-17 19:51:29,2025-12-17 19:38:23,3826.0,5.0,13.0,3.0,2.0,1.0,4.0,384,13,True,3,2018-12-13 04:54:01,0.2.0,,,2.0,,,,,,,,,
173,flakelight,nix-community/flakelight,A modular flake framework aiming to minimize boilerplate.,development,https://github.com/nix-community/flakelight,https://github.com/nix-community/flakelight,MIT,2023-04-09 00:56:54,2026-03-02 13:10:50,2026-03-02 13:10:21,320.0,16.0,10.0,8.0,12.0,3.0,27.0,383,13,True,3,,,,,,7.0,,,,,,,,
174,Home Manager Option Search,mipmip/home-manager-option-search,Search through all 2000+ Home Manager options and read how to use them.,discovery,https://github.com/ekstranix/home-manager-option-search,https://github.com/ekstranix/home-manager-option-search,Apache-2.0,2022-01-04 22:27:08,2026-03-08 05:14:17,2025-12-01 11:02:49,151.0,,19.0,,23.0,18.0,21.0,378,13,True,2,2023-12-12 22:53:06,1.4,,,4.0,15.0,,,,ekstranix/home-manager-option-search,,,,
175,juspay/nixos-unified-template,juspay/nixos-unified-template,A ready-made Nix configuration to manage either your Home environment or whole NixOS systems.,nix-configurations,https://github.com/juspay/nixos-unified-template,https://github.com/juspay/nixos-unified-template,AGPL-3.0,2023-04-01 13:43:05,2026-03-08 19:38:04,2026-03-08 19:38:03,337.0,12.0,67.0,9.0,153.0,9.0,39.0,371,13,True,3,,,,,,17.0,,,,,,,,
176,nixarr,rasmus-kirk/nixarr,The Media Server Nixos Module.,nixos-modules,https://github.com/nix-media-server/nixarr,https://github.com/nix-media-server/nixarr,GPL-3.0,2024-02-21 09:34:24,2026-02-28 13:19:35,2026-02-08 09:14:26,388.0,7.0,44.0,6.0,82.0,6.0,59.0,361,13,True,3,,,,,,21.0,,,,nix-media-server/nixarr,,,,
177,hjem,feel-co/hjem,"Streamlined, elegant $HOME management with Nix.",nixos-modules,https://github.com/feel-co/hjem,https://github.com/feel-co/hjem,MPL-2.0,2024-12-13 17:28:48,2026-03-08 19:38:41,2026-03-08 19:27:27,281.0,25.0,19.0,11.0,75.0,14.0,23.0,327,13,True,3,,,,,,14.0,,,,,,,,
178,nixpkgs-hammering,jtojnar/nixpkgs-hammering,An opinionated linter for Nixpkgs package expressions.,command-line-tools,https://github.com/jtojnar/nixpkgs-hammering,https://github.com/jtojnar/nixpkgs-hammering,MIT,2020-04-26 04:27:10,2026-03-02 20:17:57,2026-02-23 21:37:36,232.0,10.0,19.0,6.0,109.0,48.0,41.0,325,13,True,2,,,,,,14.0,,,,,,,,
179,Typix,loqusion/typix,Deterministic Typst compilation with Nix.,development,https://github.com/loqusion/typix,https://github.com/loqusion/typix,MIT,2023-12-24 03:37:43,2026-02-07 08:51:26,2026-02-07 08:51:25,439.0,5.0,13.0,3.0,69.0,4.0,10.0,298,13,True,3,2025-06-27 08:35:45,0.3.2,,,13.0,7.0,,,,,,,,
180,pyproject.nix,pyproject-nix/pyproject.nix,A collection of Nix utilities to work with Python projects.,programming-languages,https://github.com/pyproject-nix/pyproject.nix,https://github.com/pyproject-nix/pyproject.nix,MIT,2023-07-17 10:21:45,2026-03-07 06:44:31,2026-03-07 06:44:31,530.0,9.0,36.0,7.0,366.0,2.0,48.0,297,13,True,2,,,,,,18.0,,,,,['python'],,,
