,name,github_id,description,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,contributor_count,projectrank,show,projectrank_placing,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,github_release_downloads,monthly_downloads,labels,new_addition,trending,updated_github_id
125,nixos-shell,Mic92/nixos-shell,Simple headless VM configuration using Nix (similar to Vagrant).,virtualisation,https://github.com/Mic92/nixos-shell,https://github.com/Mic92/nixos-shell,MIT,2018-04-03 21:46:23,2025-05-16 14:48:26,2025-05-16 14:48:23,145,8.0,38.0,19,40.0,9.0,44.0,750,19.0,14,True,2,2024-08-14 06:20:05,2.0.0,5.0,,,,,,,,
126,musnix,musnix/musnix,Do real-time audio work in NixOS.,nixos-modules,https://github.com/musnix/musnix,https://github.com/musnix/musnix,BSD-3-Clause,2014-12-22 20:57:55,2025-06-21 21:06:23,2025-03-06 23:27:52,416,,57.0,17,156.0,11.0,54.0,750,37.0,14,True,2,,,,,,,,,,,
127,robotnix,nix-community/robotnix,A declarative and reproducible build system for Android (AOSP) images.,development,https://github.com/nix-community/robotnix,https://github.com/nix-community/robotnix,,2019-06-20 15:20:44,2025-04-19 07:48:35,2025-04-19 07:48:35,1839,22.0,73.0,13,167.0,55.0,71.0,689,27.0,14,True,2,,,,,,,,,,,
128,statix,oppiliappan/statix,A linter/fixer to check for and fix antipatterns in Nix code.,command-line-tools,https://github.com/oppiliappan/statix,https://github.com/oppiliappan/statix,MIT,2021-10-24 12:42:29,2025-03-04 02:58:13,2025-03-04 02:58:13,152,,25.0,7,34.0,27.0,34.0,667,16.0,14,True,2,2023-09-09 11:41:50,0.5.8,6.0,,,,,,,,
129,nurl,nix-community/nurl,Generate Nix fetcher calls from repository URLs.,command-line-tools,https://github.com/nix-community/nurl,https://github.com/nix-community/nurl,MPL-2.0,2022-12-30 02:06:33,2024-12-11 15:58:07,2024-09-16 16:53:16,701,,9.0,5,370.0,12.0,6.0,572,2.0,14,True,2,2023-07-21 21:21:31,0.3.13,18.0,16.0,16.0,739.0,24.0,,,,
130,nixpkgs-update,nix-community/nixpkgs-update,Semi-automatic updating of nixpkgs packages.,development,https://github.com/nix-community/nixpkgs-update,https://github.com/nix-community/nixpkgs-update,CC0-1.0,2017-11-03 02:25:28,2025-06-24 22:34:32,2025-06-24 22:29:15,1071,4.0,81.0,16,196.0,102.0,177.0,506,49.0,14,True,2,,,,,,,,,,,
131,kclejeune/system,kclejeune/system,"Declarative system configurations using nixOS, nix-darwin, and home-manager.",learning,https://github.com/kclejeune/system,https://github.com/kclejeune/system,MIT,2020-07-02 06:19:11,2025-06-29 08:06:26,2025-06-13 19:27:44,1166,10.0,44.0,6,361.0,,11.0,490,9.0,14,True,2,,,,,,,,,,,
132,noogle,nix-community/noogle,Nix function exploring.,discovery,https://github.com/nix-community/noogle,https://github.com/nix-community/noogle,MIT,2022-11-26 09:35:35,2025-06-29 02:56:31,2025-06-29 02:10:15,939,119.0,15.0,3,694.0,20.0,43.0,448,14.0,14,True,2,,,1.0,,,,,,,,
133,uv2nix,pyproject-nix/uv2nix,Ingest uv workspaces using Nix.,programming-languages,https://github.com/pyproject-nix/uv2nix,https://github.com/pyproject-nix/uv2nix,MIT,2024-08-22 04:29:29,2025-06-28 02:00:40,2025-06-28 02:00:24,323,33.0,25.0,8,161.0,7.0,39.0,441,13.0,14,True,2,,,,,,,,['python'],True,,
134,nixos-facter,nix-community/nixos-facter,Declarative hardware configuration for NixOS.,nixos-modules,https://github.com/nix-community/nixos-facter,https://github.com/nix-community/nixos-facter,,2024-06-12 08:51:04,2025-06-02 20:42:58,2025-06-02 20:40:09,324,27.0,7.0,12,123.0,36.0,45.0,389,8.0,14,True,2,2025-05-12 13:37:17,0.4.0,3.0,,,,,,True,,
