,name,github_id,description,category,homepage,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,gitlab_id,gitlab_url,created_at,fork_count,open_issue_count,closed_issue_count,star_count,release_count,updated_at,trending
114,haskell-nix,Gabriella439/haskell-nix,Nix and Haskell in production.,programming-languages,{},,,23.0,1,False,2.0,,,,,,,,,,
115,hnix,haskell-nix/hnix,A Haskell re-implementation of the Nix expression language.,programming-languages,{},,,64.0,1,False,2.0,,,,,,,,,,
116,naersk,nix-community/naersk,Build Rust packages directly from `Cargo.lock`.,programming-languages,{},,,58.0,1,False,2.0,,,,,,,,,,
117,nickel,tweag/nickel,Better configuration for less.,programming-languages,{},,,98.0,1,False,2.0,,,,,,,,,,
118,nijs,svanderburg/nijs,NiJS: An internal DSL for Nix in JavaScript.,programming-languages,{},29.0,29.0,2.0,1,False,2.0,,,,,,,,,,
119,node2nix,svanderburg/node2nix,Generate Nix expression from a `package.json` (or `package-lock.json`) (to be stored as files).,programming-languages,{},,,49.0,1,False,2.0,,,,,,,,,,
120,rust-overlay,oxalica/rust-overlay,Pure and reproducible nix overlay of binary distributed Rust toolchains.,programming-languages,{},,,27.0,1,False,2.0,,,,,,,,,,
121,tvix,tvlfyi/tvix,Tvix - A Rust implementation of Nix.,programming-languages,{},,,51.0,1,False,2.0,,,,,,,,,,
122,uv2nix,pyproject-nix/uv2nix,Ingest uv workspaces using Nix.,programming-languages,{},,,21.0,1,False,2.0,,,,,,,,,,
123,impermanence,nix-community/impermanence,Lets you choose what files and directories you want to keep between reboots.,nixos-modules,{},,,37.0,1,False,2.0,,,,,,,,,,
124,Jovian-NixOS,Jovian-Experiments/Jovian-NixOS,NixOS modules for gaming with Steam Deck compatibility.,nixos-modules,{},,,24.0,1,False,2.0,,,,,,,,,,
125,lanzaboote,nix-community/lanzaboote,Secure Boot for NixOS.,nixos-modules,{},,,55.0,1,False,2.0,,,,,,,,,,
126,musnix,musnix/musnix,Do real-time audio work in NixOS.,nixos-modules,{},,,39.0,1,False,2.0,,,,,,,,,,
127,nix-bitcoin,fort-nix/nix-bitcoin,Modules and packages for Bitcoin nodes with higher-layer protocols with an emphasis on security.,nixos-modules,{},,,31.0,1,False,2.0,,,,,,,,,,
128,nix-homebrew,zhaofengli/nix-homebrew,"Manages Homebrew installations on macOS using nix-darwin, with pinned versions and declarative tap management.",nixos-modules,{},,,23.0,1,False,2.0,,,,,,,,,,
129,nix-minecraft,Infinidoge/nix-minecraft,An attempt to better support Minecraft-related content for the Nix ecosystem.,nixos-modules,{},,,30.0,1,False,2.0,,,,,,,,,,
130,nix-topology,oddlama/nix-topology,Generate infrastructure and network diagrams directly from your NixOS configuration.,nixos-modules,{},,,27.0,1,False,2.0,,,,,,,,,,
131,nixarr,rasmus-kirk/nixarr,The Media Server Nixos Module.,nixos-modules,{},,,37.0,1,False,2.0,,,,,,,,,,
132,nixGL,nix-community/nixGL,A wrapper tool for nix OpenGL application.,nixos-modules,{},,,30.0,1,False,2.0,,,,,,,,,,
133,NixOS-WSL,nix-community/NixOS-WSL,Modules for running NixOS on the Windows Subsystem for Linux.,nixos-modules,{},,,60.0,1,False,2.0,,,,,,,,,,
134,srvos,nix-community/srvos,NixOS profiles for servers.,nixos-modules,{},,,49.0,1,False,2.0,,,,,,,,,,
135,catppuccin/nix,catppuccin/nix,Catppuccin for Nix brings the soothing pastel aesthetics of the Catppuccin theme to your NixOS and home-manager..,theming,{},,,95.0,1,False,3.0,,,,,,,,,,
