,name,github_id,description,category,homepage,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,gitlab_id,gitlab_url,created_at,fork_count,open_issue_count,closed_issue_count,star_count,release_count,updated_at,trending
97,nix-update,Mic92/nix-update,Update versions/source hashes of nix packages.,development,{},,,82.0,1,False,2.0,,,,,,,,,,
98,nixd,nix-community/nixd,"Nix language server, based on Nix libraries.",development,{},,,61.0,1,False,2.0,,,,,,,,,,
99,nixos-vscode-server,nix-community/nixos-vscode-server,Visual Studio Code Server support in NixOS.,development,{},,,21.0,1,False,2.0,,,,,,,,,,
100,nixpkgs-review,Mic92/nixpkgs-review,The best tool to verify that a pull-request in Nixpkgs is building properly.,development,{},,,83.0,1,False,2.0,,,,,,,,,,
101,nixpkgs-update,nix-community/nixpkgs-update,Semi-automatic updating of nixpkgs packages.,development,{},,,61.0,1,False,2.0,,,,,,,,,,
102,npins,andir/npins,A simple tool for handling different types of dependencies in a Nix project.,development,{},,,35.0,1,False,2.0,,,,,,,,,,
103,rnix-parser,nix-community/rnix-parser,A Nix parser written in Rust.,development,{},2.0,2.0,32.0,1,False,2.0,,,,,,,,,,
104,robotnix,nix-community/robotnix,A declarative and reproducible build system for Android (AOSP) images.,development,{},,,33.0,1,False,2.0,,,,,,,,,,
105,services-flake,juspay/services-flake,A NixOS-like service configuration framework for Nix flakes.,development,{},,,38.0,1,False,2.0,,,,,,,,,,
106,treefmt-nix,numtide/treefmt-nix,"A formatter that allows formatting all your project files with a single command, all via a single `.nix` file.",development,{},,,138.0,1,False,2.0,,,,,,,,,,
107,Bundix,nix-community/bundix,Generates a Nix expression for your Bundler-managed application.,programming-languages,{},3.0,3.0,18.0,1,False,2.0,,,,,,,,,,
108,cabal2nix,NixOS/cabal2nix,Converts a Cabal file into a Nix build expression.,programming-languages,{},,,134.0,1,False,2.0,,,,,,,,,,
109,cargo2nix,cargo2nix/cargo2nix,Granular builds of Rust projects for Nix.,programming-languages,{},,,42.0,1,False,2.0,,,,,,,,,,
110,crane,ipetkov/crane,A Nix library for building Cargo projects with incremental artifact caching.,programming-languages,{},,,76.0,1,False,2.0,,,,,,,,,,
111,Easy PureScript Nix,justinwoo/easy-purescript-nix,A project to easily use PureScript and other tools with Nix.,programming-languages,{},,,32.0,1,False,2.0,,,,,,,,,,
112,fenix,nix-community/fenix,Rust toolchains and Rust analyzer nightly for nix.,programming-languages,{},,,31.0,1,False,2.0,,,,,,,,,,
113,ghc.nix,alpmestan/ghc.nix,Nix (shell) expression for working on GHC.,programming-languages,{},,,29.0,1,False,2.0,,,,,,,,,,
