,name,github_id,description,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,projectrank,show,projectrank_placing,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,contributor_count,dependent_project_count,github_dependent_project_count,updated_github_id,trending,labels,gitlab_id,gitlab_url
35,crane,ipetkov/crane,A Nix library for building Cargo projects with incremental artifact caching.,programming-languages,https://github.com/ipetkov/crane,https://github.com/ipetkov/crane,MIT,2022-01-16 04:23:52,2026-03-21 09:39:55,2026-03-18 18:16:12,827.0,35.0,125.0,7.0,528.0,31.0,280.0,1315,20,True,1,2026-02-15 02:11:11,0.23.1,,,59.0,67.0,,,,,['rust'],,
36,alejandra,kamadorueda/alejandra,An opinionated Nix code formatter optimized for speed and consistency.,command-line-tools,https://github.com/kamadorueda/alejandra,https://github.com/kamadorueda/alejandra,Unlicense,2022-01-26 22:52:25,2026-02-19 21:21:47,2026-01-11 18:15:55,565.0,1.0,53.0,7.0,313.0,63.0,98.0,1312,20,True,1,2025-04-10 22:34:11,4.0.0,36469.0,744.0,19.0,26.0,11.0,11.0,,,,,
37,mobile-nixos,mobile-nixos/mobile-nixos,NixOS for mobile devices like phones.,distributions,https://github.com/mobile-nixos/mobile-nixos,https://github.com/mobile-nixos/mobile-nixos,MIT,2018-06-10 01:00:58,2026-02-28 14:45:54,2026-02-28 14:45:54,3170.0,28.0,212.0,48.0,556.0,144.0,167.0,1261,20,True,1,,,,,,52.0,,,,,,,
38,poetry2nix,nix-community/poetry2nix,Build Python packages directly from Poetrys `poetry.lock` files.,programming-languages,https://github.com/nix-community/poetry2nix,https://github.com/nix-community/poetry2nix,MIT,2019-06-17 15:26:38,2026-03-22 20:43:58,2025-04-03 14:27:04,3486.0,,447.0,7.0,1416.0,170.0,324.0,939,20,True,1,2025-03-19 15:29:55,2025.3.1955794,,,100.0,334.0,,,,,['python'],,
39,hnix,haskell-nix/hnix,A Haskell re-implementation of the Nix expression language.,programming-languages,https://github.com/haskell-nix/hnix,https://github.com/haskell-nix/hnix,BSD-3-Clause,2014-06-28 23:30:50,2026-03-17 06:37:57,2026-03-17 06:36:57,3693.0,10.0,116.0,30.0,593.0,132.0,368.0,832,20,True,1,2023-11-20 21:43:20,0.17.0,,,26.0,64.0,,,,2.0,['haskell'],,
40,nixpkgs-review,Mic92/nixpkgs-review,The best tool to verify that a pull-request in Nixpkgs is building properly.,development,https://github.com/Mic92/nixpkgs-review,https://github.com/Mic92/nixpkgs-review,MIT,2018-03-17 13:30:00,2026-03-16 04:30:28,2026-03-16 04:30:27,1017.0,66.0,92.0,10.0,397.0,57.0,155.0,582,20,True,1,2026-02-08 13:42:47,3.7.0,,,42.0,75.0,,,,,,,
41,magic-nix-cache-action,DeterminateSystems/magic-nix-cache-action,"Save 30-50%+ of CI time without any effort or cost. Use Magic Nix Cache, a totally free and zero-configuration binary..",github-actions,https://github.com/DeterminateSystems/magic-nix-cache-action,https://github.com/DeterminateSystems/magic-nix-cache-action,MIT,2023-06-23 16:48:28,2026-02-25 20:32:28,2026-02-25 20:27:04,310.0,12.0,32.0,6.0,146.0,25.0,13.0,517,20,True,3,2025-07-15 02:38:56,13,,,13.0,14.0,5692.0,5692.0,,,,,
42,lanzaboote,nix-community/lanzaboote,Secure Boot for NixOS.,nixos-modules,https://github.com/nix-community/lanzaboote,https://github.com/nix-community/lanzaboote,GPL-3.0,2022-11-21 11:10:07,2026-03-16 01:01:47,2026-03-12 19:35:50,967.0,49.0,97.0,17.0,390.0,31.0,139.0,1579,19,True,2,2025-12-10 16:06:43,1.0.0,,,8.0,47.0,,,,,,,
43,comma,nix-community/comma,Quickly run any binary; wraps together `nix run` and `nix-index`.,command-line-tools,https://github.com/nix-community/comma,https://github.com/nix-community/comma,MIT,2020-04-28 22:00:21,2026-03-17 15:02:34,2026-03-17 15:02:24,214.0,5.0,60.0,42.0,71.0,6.0,38.0,1568,19,True,1,2026-03-17 15:00:57,2.4.0,,,24.0,28.0,,,,1.0,,,
44,System Manager,numtide/system-manager,A non-NixOS Linux system configuration tool built on Nix.,overlays,https://github.com/numtide/system-manager,https://github.com/numtide/system-manager,,2023-03-22 16:38:41,2026-03-20 10:17:47,2026-03-18 09:47:12,929.0,219.0,44.0,19.0,327.0,46.0,43.0,1464,19,True,1,2026-03-12 12:02:51,1.1.0,,,2.0,33.0,,,,,,,
45,rust-overlay,oxalica/rust-overlay,Pure and reproducible nix overlay of binary distributed Rust toolchains.,programming-languages,https://github.com/oxalica/rust-overlay,https://github.com/oxalica/rust-overlay,MIT,2021-01-01 12:18:06,2026-03-22 03:11:40,2026-03-22 03:11:11,2118.0,99.0,83.0,8.0,82.0,15.0,159.0,1432,19,True,2,,,,,,25.0,,,,,['rust'],,
46,nix-update,Mic92/nix-update,Update versions/source hashes of nix packages.,development,https://github.com/Mic92/nix-update,https://github.com/Mic92/nix-update,MIT,2020-03-05 11:31:09,2026-03-22 04:12:33,2026-03-22 04:12:32,980.0,80.0,96.0,10.0,439.0,45.0,90.0,745,19,True,1,2025-12-11 21:03:54,1.14.0,,,48.0,76.0,,,,,,,
47,catppuccin/nix,catppuccin/nix,Catppuccin for Nix brings the soothing pastel aesthetics of the Catppuccin theme to your NixOS and home-manager..,theming,https://github.com/catppuccin/nix,https://github.com/catppuccin/nix,MIT,2023-03-27 01:56:44,2026-03-23 00:29:19,2026-03-21 13:04:39,620.0,58.0,98.0,5.0,620.0,30.0,205.0,697,19,True,2,2026-01-06 15:38:24,25.11,,,9.0,85.0,,,,,,,
48,emacs-overlay,nix-community/emacs-overlay,Bleeding edge Emacs overlay.,overlays,https://github.com/nix-community/emacs-overlay,https://github.com/nix-community/emacs-overlay,,2018-12-28 10:46:06,2026-03-22 16:32:38,2026-03-22 16:32:02,18538.0,635.0,175.0,10.0,223.0,7.0,292.0,611,19,True,1,,,,,,86.0,,,,,,,
49,nixos-images,nix-community/nixos-images,Automatically build (netboot) images for NixOS.,installation-media,https://github.com/nix-community/nixos-images,https://github.com/nix-community/nixos-images,MIT,2021-06-10 04:52:45,2026-03-19 01:43:47,2026-03-16 10:50:43,673.0,10.0,57.0,4.0,359.0,7.0,27.0,369,19,True,2,2025-12-26 17:30:28,nixos-25.11,47500.0,931.0,13.0,25.0,,,,,,,
50,awesome-nix,nix-community/awesome-nix,A curated list of the best resources in the Nix community.,learning,https://github.com/nix-community/awesome-nix,https://github.com/nix-community/awesome-nix,CC0-1.0,2019-05-15 14:59:41,2026-02-26 00:32:49,2026-02-22 03:50:51,406.0,19.0,191.0,78.0,288.0,8.0,29.0,4982,18,True,2,,,,,,124.0,8.0,8.0,,,,,
51,nix-ld,nix-community/nix-ld,Run unpatched dynamic binaries on NixOS.,development,https://github.com/nix-community/nix-ld,https://github.com/nix-community/nix-ld,MIT,2020-11-15 09:46:18,2026-03-16 08:50:57,2026-03-16 08:48:22,504.0,26.0,23.0,13.0,186.0,10.0,30.0,1577,18,True,1,2025-10-01 21:29:45,2.0.6,,,16.0,17.0,,,,,,,
52,digga,divnix/digga,"A Nix flake utility library to structure your home, system, and development configurations.",development,https://github.com/divnix/digga,https://github.com/divnix/digga,MIT,2019-11-12 22:28:16,2024-05-17 10:20:04,2024-05-17 10:19:41,1358.0,,104.0,22.0,248.0,28.0,172.0,1026,18,False,1,2022-04-02 22:16:50,0.11.0,,,4.0,53.0,,,,,,,
53,Jovian-NixOS,Jovian-Experiments/Jovian-NixOS,NixOS modules for gaming with Steam Deck compatibility.,nixos-modules,https://github.com/Jovian-Experiments/Jovian-NixOS,https://github.com/Jovian-Experiments/Jovian-NixOS,MIT,2022-03-23 02:29:23,2026-03-22 08:29:30,2026-03-22 08:29:16,1553.0,92.0,80.0,24.0,350.0,46.0,128.0,927,18,True,2,,,,,,23.0,,,,,,,
54,nixos-shell,Mic92/nixos-shell,Simple headless VM configuration using Nix (similar to Vagrant).,virtualisation,https://github.com/Mic92/nixos-shell,https://github.com/Mic92/nixos-shell,MIT,2018-04-03 21:46:23,2026-03-22 04:40:25,2026-03-22 04:40:24,236.0,32.0,39.0,17.0,86.0,11.0,45.0,844,18,True,2,2026-02-15 16:15:07,2.1.0,,,6.0,24.0,,,,,,,
55,comin,nlewo/comin,A deployment tool to continuously pull from Git repositories.,deployment-tools,https://github.com/nlewo/comin,https://github.com/nlewo/comin,MIT,2022-12-10 09:13:26,2026-03-21 09:59:13,2026-03-14 08:04:24,377.0,37.0,43.0,6.0,84.0,27.0,33.0,836,18,True,1,2026-02-18 09:30:33,0.11.0,,,12.0,21.0,,,,-1.0,,,
56,git-hooks.nix,cachix/git-hooks.nix,Seamless integration of git hooks with Nix.,development,https://github.com/cachix/git-hooks.nix,https://github.com/cachix/git-hooks.nix,Apache-2.0,2019-08-16 13:01:11,2026-03-21 14:43:41,2026-03-21 14:43:35,1191.0,42.0,218.0,4.0,495.0,62.0,139.0,789,18,True,1,,,,,,159.0,,,,,,,
57,vulnix,nix-community/vulnix,Vulnerability (CVE) scanner for Nix/NixOS.,security,https://github.com/nix-community/vulnix,https://github.com/nix-community/vulnix,BSD-3-Clause,2016-06-27 08:08:54,2026-03-19 18:17:26,2026-02-17 08:50:04,370.0,8.0,43.0,13.0,83.0,18.0,55.0,728,18,True,1,2026-02-17 09:02:10,1.12.3,,,7.0,27.0,3.0,3.0,,,,,
58,nurl,nix-community/nurl,Generate Nix fetcher calls from repository URLs.,command-line-tools,https://github.com/nix-community/nurl,https://github.com/nix-community/nurl,MPL-2.0,2022-12-30 02:06:33,2026-03-21 15:47:07,2026-03-21 15:47:03,853.0,147.0,10.0,2.0,427.0,12.0,12.0,706,18,True,2,2026-02-06 15:24:05,0.4.0,1102.0,28.0,19.0,4.0,16.0,16.0,,,,,
59,nixpkgs-wayland,nix-community/nixpkgs-wayland,Bleeding-edge Wayland packages.,overlays,https://github.com/nix-community/nixpkgs-wayland,https://github.com/nix-community/nixpkgs-wayland,,2018-10-24 01:30:44,2026-03-22 13:32:59,2026-03-22 13:29:44,11156.0,321.0,45.0,6.0,268.0,48.0,189.0,600,18,True,2,,,,,,34.0,,,,,,,
60,lix,lix-project/lix,"A modern, delicious implementation of the Nix package manager, focused on correctness, usability, and growth.",command-line-tools,https://github.com/lix-project/lix,https://github.com/lix-project/lix,LGPL-2.1,2024-02-26 00:52:04,2026-03-22 12:04:10,2026-03-22 11:30:34,19094.0,395.0,14.0,10.0,17.0,,,542,18,True,2,,,,,,703.0,4.0,4.0,,,,,
61,MCP-NixOS,utensils/mcp-nixos,"An MCP server that provides AI assistants with accurate information about NixOS packages, options, Home Manager, and..",ai-tooling,https://github.com/utensils/mcp-nixos,https://github.com/utensils/mcp-nixos,MIT,2025-03-20 05:05:00,2026-03-11 18:46:52,2026-03-06 03:55:18,415.0,52.0,27.0,6.0,85.0,,29.0,493,18,True,2,2026-03-06 03:35:57,2.3.0,,,10.0,9.0,1.0,1.0,,,,,
62,vscode-nix-ide,nix-community/vscode-nix-ide,Nix language support for Visual Studio Code.,editors-and-ides,https://github.com/nix-community/vscode-nix-ide,https://github.com/nix-community/vscode-nix-ide,MIT,2020-07-12 23:06:57,2026-02-16 09:12:00,2026-02-16 09:11:52,478.0,16.0,38.0,6.0,441.0,16.0,66.0,468,18,True,2,2025-12-27 09:14:59,0.5.5,470.0,7.0,40.0,34.0,,,,,,,
63,nix-fast-build,Mic92/nix-fast-build,Combine the power of nix-eval-jobs with nix-output-monitor to speed-up your evaluation and building process.,development,https://github.com/Mic92/nix-fast-build,https://github.com/Mic92/nix-fast-build,MIT,2023-09-08 08:11:43,2026-03-22 04:24:19,2026-03-22 04:24:18,433.0,60.0,29.0,4.0,271.0,10.0,30.0,461,18,True,1,2026-03-18 12:28:50,1.4.0,,,5.0,18.0,,,,,,,
