,name,github_id,description,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,projectrank,show,projectrank_placing,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,contributor_count,dependent_project_count,github_dependent_project_count,trending,updated_github_id,labels,new_addition,gitlab_id,gitlab_url
234,nix-unit,nix-community/nix-unit,Unit testing for Nix code.,development,https://github.com/nix-community/nix-unit,https://github.com/nix-community/nix-unit,GPL-3.0,2023-07-21 05:23:06,2026-02-13 14:55:38,2025-11-10 11:29:46,639.0,,14.0,2.0,264.0,8.0,12.0,116,11,True,3,2025-08-12 07:35:02,2.30.0,,,4.0,22.0,,,,,,,,
235,composer2nix,svanderburg/composer2nix,Generate Nix expressions to build composer packages.,programming-languages,https://github.com/svanderburg/composer2nix,https://github.com/svanderburg/composer2nix,MIT,2017-07-07 20:51:06,2026-01-27 22:44:11,2022-03-01 23:41:50,64.0,,26.0,2.0,20.0,10.0,11.0,92,11,False,3,2022-03-05 11:16:43,0.0.6,,,6.0,7.0,,,,,,,,
236,opam2nix,timbertson/opam2nix,Generate Nix expressions from opam packages.,programming-languages,https://github.com/timbertson/opam2nix,https://github.com/timbertson/opam2nix,MIT,2015-08-06 10:42:08,2025-01-29 21:52:55,2025-01-29 05:58:48,370.0,,26.0,10.0,29.0,17.0,45.0,92,11,False,3,,,,,,11.0,,,,,,,,
237,lon,nikstur/lon,Lock & update Nix dependencies.,command-line-tools,https://github.com/nikstur/lon,https://github.com/nikstur/lon,MIT,2024-08-09 17:21:27,2026-03-01 00:52:36,2025-12-01 22:05:38,145.0,,4.0,3.0,51.0,5.0,5.0,75,11,True,2,2025-06-16 12:45:52,0.8.0,,,8.0,5.0,,,,,,,,
238,nixpkgs-firefox-darwin,bandithedoge/nixpkgs-firefox-darwin,Automatically updated Firefox binary packages for macOS.,overlays,https://github.com/bandithedoge/nixpkgs-firefox-darwin,https://github.com/bandithedoge/nixpkgs-firefox-darwin,MIT,2021-12-12 17:28:12,2026-03-01 01:45:10,2026-03-01 01:45:10,1066.0,87.0,8.0,2.0,11.0,3.0,6.0,73,11,True,3,,,,,,10.0,,,,,,,,
239,zellij-nix,a-kenji/zellij-nix,Zellij Nix Environment.,development,https://github.com/a-kenji/zellij-nix,https://github.com/a-kenji/zellij-nix,MIT,2021-02-23 21:35:40,2026-03-01 07:33:35,2026-03-01 07:32:54,1713.0,118.0,4.0,1.0,820.0,3.0,1.0,53,11,True,3,,,,,,5.0,,,,,,,,
240,hydra-cli,nlewo/hydra-cli,A client for the Hydra Nix CI.,command-line-tools,https://github.com/nlewo/hydra-cli,https://github.com/nlewo/hydra-cli,MIT,2019-06-18 12:48:30,2024-07-22 08:10:00,2023-12-19 22:16:49,208.0,,15.0,4.0,61.0,5.0,6.0,48,11,False,2,2020-11-15 08:04:35,0.3.0,,,2.0,5.0,,,,,,,,
241,krewfile,brumhard/krewfile,Declarative krew plugin management.,devops,https://github.com/brumhard/krewfile,https://github.com/brumhard/krewfile,MIT,2022-09-12 11:08:54,2025-12-29 10:07:57,2025-12-29 10:07:34,42.0,4.0,5.0,1.0,11.0,,7.0,43,11,True,2,2025-12-29 10:26:51,0.7.0,2750.0,65.0,12.0,7.0,,,,,,,,
242,deadnix,astro/deadnix,Scan Nix files for dead code.,command-line-tools,https://github.com/astro/deadnix,https://github.com/astro/deadnix,GPL-3.0,2021-12-05 23:06:43,2025-12-15 18:02:07,2025-11-25 23:49:03,299.0,,19.0,2.0,85.0,3.0,25.0,723,10,True,3,,,,,,18.0,7.0,7.0,,,,,,
243,manix,mlvzk/manix,"Find configuration options and function documentation for Nixpkgs, NixOS, and Home Manager.",command-line-tools,https://github.com/mlvzk/manix,https://github.com/mlvzk/manix,MPL-2.0,2020-08-15 17:14:06,2024-01-28 15:07:18,2021-04-19 23:47:08,82.0,,14.0,14.0,17.0,10.0,7.0,423,10,False,3,2021-04-19 23:51:39,0.6.3,133.0,2.0,4.0,3.0,,,,,,,,
