,name,github_id,description,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,github_release_downloads,monthly_downloads,labels,trending
110,nixpkgs-firefox-darwin,bandithedoge/nixpkgs-firefox-darwin,Automatically updated Firefox binary packages for macOS.,overlays,https://github.com/bandithedoge/nixpkgs-firefox-darwin,https://github.com/bandithedoge/nixpkgs-firefox-darwin,MIT,2021-12-12 17:28:12,2025-05-15 01:02:28,2025-05-15 01:02:27,780,91.0,8.0,3,11.0,3.0,6.0,66,,,,,,10.0,12,True,3,,,,
111,lean4-nix,lenianiva/lean4-nix,"Nix flake build for Lean 4, and `lake2nix`.",programming-languages,https://github.com/lenianiva/lean4-nix,https://github.com/lenianiva/lean4-nix,Apache-2.0,2024-10-11 05:39:31,2025-05-11 22:13:30,2025-05-02 15:07:53,115,22.0,8.0,3,34.0,6.0,12.0,42,2024-12-10 06:09:58,0.2,2.0,,,4.0,12,True,2,,,,
112,not-os,cleverca22/not-os,"An operating system generator that outputs a small, read-only squashfs for a runit-based OS.",distributions,https://github.com/cleverca22/not-os,https://github.com/cleverca22/not-os,MIT,2016-06-03 05:40:23,2025-01-12 16:03:40,2025-01-12 16:03:38,98,,38.0,36,24.0,6.0,4.0,881,,,,,,5.0,11,True,3,,,,
113,nix-du,symphorien/nix-du,Visualise which gc-roots to delete to free some space in your Nix store.,command-line-tools,https://github.com/symphorien/nix-du,https://github.com/symphorien/nix-du,LGPL-3.0,2018-01-15 21:42:01,2025-05-12 18:23:16,2025-05-12 12:00:00,300,12.0,6.0,6,11.0,3.0,15.0,426,,,,,,3.0,11,True,3,,,,
114,terraform-nixos,nix-community/terraform-nixos,A set of Terraform modules designed to deploy NixOS.,deployment-tools,https://github.com/nix-community/terraform-nixos,https://github.com/nix-community/terraform-nixos,Apache-2.0,2018-12-05 17:07:26,2024-08-04 10:19:37,2021-08-26 20:33:37,76,,59.0,36,54.0,23.0,10.0,360,,,,,,16.0,11,False,3,,,,
115,haumea,nix-community/haumea,"Filesystem-based module system for the Nix language similar to traditional programming languages, with support for..",development,https://github.com/nix-community/haumea,https://github.com/nix-community/haumea,MPL-2.0,2023-04-01 00:50:18,2024-06-05 05:11:22,2024-02-19 20:38:18,93,,7.0,5,37.0,10.0,4.0,337,2023-05-26 20:34:06,0.2.2,5.0,,,4.0,11,False,3,,,,
116,nix-melt,nix-community/nix-melt,A ranger-like flake.,command-line-tools,https://github.com/nix-community/nix-melt,https://github.com/nix-community/nix-melt,MPL-2.0,2023-04-25 22:20:20,2024-12-13 23:10:06,2024-09-16 15:27:16,347,,2.0,3,221.0,2.0,3.0,262,2024-09-16 15:29:34,0.1.3,4.0,1.0,1.0,3.0,11,True,3,277.0,11.0,,
117,base16.nix,SenchoPens/base16.nix,"Flake way to theme programs in base16 colorschemes, mustache template support included.",nixos-modules,https://github.com/SenchoPens/base16.nix,https://github.com/SenchoPens/base16.nix,MIT,2021-05-06 15:19:06,2025-05-06 20:21:28,2025-05-06 20:21:28,67,4.0,10.0,2,8.0,2.0,14.0,232,2024-02-27 10:09:57,2.2.1,7.0,,,7.0,11,True,3,,,,
118,extra-container,erikarvstedt/extra-container,Run declarative NixOS containers from the command line.,virtualisation,https://github.com/erikarvstedt/extra-container,https://github.com/erikarvstedt/extra-container,MIT,2018-07-14 13:32:14,2024-12-18 17:17:57,2024-12-18 17:17:55,151,,18.0,11,7.0,2.0,28.0,231,,,,,,3.0,11,True,3,,,,
119,ruby-nix,inscapist/ruby-nix,Generates reproducible ruby/bundler app environment with Nix.,programming-languages,https://github.com/inscapist/ruby-nix,https://github.com/inscapist/ruby-nix,MIT,2022-12-20 08:37:50,2025-04-14 09:34:37,2025-04-14 09:34:37,143,3.0,7.0,7,43.0,3.0,16.0,132,2024-09-07 03:26:11,0.2.2,8.0,,,6.0,11,True,3,,,['ruby'],
