,name,github_id,description,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,contributor_count,projectrank,show,projectrank_placing,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,github_release_downloads,monthly_downloads,trending,labels,updated_github_id
245,nixcloud-webservices,nixcloud/nixcloud-webservices,"This nixpkgs extension, called nixcloud-webservices, focuses on ease of deployment of web-related technologies.",deployment-tools,https://github.com/nixcloud/nixcloud-webservices,https://github.com/nixcloud/nixcloud-webservices,,2017-11-17 23:06:20,2024-10-18 11:02:38,2024-10-18 11:02:38,467,,25.0,13,29.0,18.0,40.0,183,14.0,10,True,3,,,,,,,,,,
246,nixsa,noamraph/nixsa,A Nix Standalone Environment.,installation-media,https://github.com/noamraph/nixsa,https://github.com/noamraph/nixsa,LGPL-2.1,2024-08-05 19:57:39,2025-04-01 21:49:26,2025-04-01 21:30:56,69,,4.0,2,18.0,3.0,9.0,176,4.0,10,True,3,2024-11-17 20:35:16,0.2.0,6.0,,,336.0,28.0,,,
247,buildkit-nix,reproducible-containers/buildkit-nix,Nix derivations as Dockerfiles.,virtualisation,https://github.com/reproducible-containers/buildkit-nix,https://github.com/reproducible-containers/buildkit-nix,Apache-2.0,2021-12-03 12:53:28,2023-09-13 10:51:18,2023-09-13 10:51:18,33,,17.0,11,15.0,6.0,3.0,176,2.0,10,False,3,2023-09-13 09:41:32,0.1.1,4.0,,,,,,,
248,nixiosk,matthewbauer/nixiosk,Declarative Kiosk systems built with NixOS.,nixos-modules,https://github.com/matthewbauer/nixiosk,https://github.com/matthewbauer/nixiosk,MIT,2020-02-22 21:05:04,2023-03-19 01:28:23,2023-03-19 01:28:04,289,,12.0,7,10.0,14.0,5.0,161,6.0,10,False,3,,,,,,,,,,
249,npmlock2nix,nix-community/npmlock2nix,"Generate Nix expressions from a `package-lock.json` (in-memory), primarily for web projects.",programming-languages,https://github.com/nix-community/npmlock2nix,https://github.com/nix-community/npmlock2nix,Apache-2.0,2020-07-22 14:21:40,2024-01-20 21:45:48,2023-01-11 14:30:13,286,,37.0,4,137.0,37.0,20.0,139,15.0,10,False,3,,,,,,,,,,
250,ruby-nix,inscapist/ruby-nix,Generates reproducible ruby/bundler app environment with Nix.,programming-languages,https://github.com/inscapist/ruby-nix,https://github.com/inscapist/ruby-nix,MIT,2022-12-20 08:37:50,2025-08-13 04:24:12,2025-08-13 04:24:12,145,2.0,14.0,6,45.0,3.0,17.0,139,6.0,10,True,3,2024-09-07 03:26:11,0.2.2,8.0,,,,,,['ruby'],
251,NixNeovim,NixNeovim/NixNeovim,Configure Neovim with Nix!.,editors-and-ides,https://github.com/NixNeovim/NixNeovim,https://github.com/NixNeovim/NixNeovim,MIT,2022-08-13 11:03:23,2024-08-23 13:37:39,2024-08-23 13:37:31,754,,15.0,3,78.0,6.0,42.0,132,18.0,10,True,3,,,,1.0,1.0,,,,,
252,nixos-facter-modules,nix-community/nixos-facter-modules,A series of NixOS modules to be used in conjunction with nixos-facter.,nixos-modules,https://github.com/nix-community/nixos-facter-modules,https://github.com/nix-community/nixos-facter-modules,MIT,2024-07-25 10:32:17,2025-08-17 09:59:46,2025-08-17 09:59:45,160,8.0,15.0,6,55.0,16.0,10.0,129,12.0,10,True,3,,,,,,,,,,
253,dix,bloxx12/dix,A blazingly fast tool to diff Nix related things.,command-line-tools,https://github.com/faukah/dix,https://github.com/faukah/dix,GPL-3.0,2025-05-04 12:13:11,2025-08-17 10:54:04,2025-07-27 19:57:31,159,31.0,2.0,2,29.0,,7.0,125,6.0,10,True,3,2025-07-27 19:58:44,1.2.2,8.0,1.0,1.0,,,,,faukah/dix
254,namaka,nix-community/namaka,Snapshot testing for Nix based on haumea.,development,https://github.com/nix-community/namaka,https://github.com/nix-community/namaka,MPL-2.0,2023-04-09 02:24:14,2025-02-12 16:53:55,2024-11-17 00:47:29,359,,4.0,4,202.0,3.0,1.0,125,3.0,10,True,3,2024-11-17 00:47:49,0.2.1,4.0,1.0,1.0,,,,,
