,name,github_id,description,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,contributor_count,projectrank,show,projectrank_placing,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,github_release_downloads,monthly_downloads,labels,trending,updated_github_id,new_addition
73,lix,lix-project/lix,"A modern, delicious implementation of the Nix package manager, focused on correctness, usability, and growth.",command-line-tools,https://github.com/lix-project/lix,https://github.com/lix-project/lix,LGPL-2.1,2024-02-26 00:52:04,2025-08-24 18:07:11,2025-08-24 17:34:20,18314,359.0,16.0,9,17.0,,,432,688.0,17,True,2,,,,,,,,,,,
74,KubeNix,hall/kubenix,A Kubernetes resource builder using Nix.,deployment-tools,https://github.com/hall/kubenix,https://github.com/hall/kubenix,MIT,2022-08-12 02:40:33,2025-07-05 15:39:16,2025-07-05 15:38:58,419,12.0,30.0,12,40.0,15.0,21.0,390,22.0,17,True,2,2024-05-06 23:34:26,0.3.0,3.0,,,,,,,,
75,npins,andir/npins,A simple tool for handling different types of dependencies in a Nix project.,development,https://github.com/andir/npins,https://github.com/andir/npins,EUPL-1.2,2021-07-31 15:30:32,2025-08-24 17:18:46,2025-08-24 17:18:46,294,14.0,33.0,12,106.0,22.0,39.0,379,22.0,17,True,2,2025-05-07 19:11:03,0.3.1,6.0,,,,,,2.0,,
76,nixidy,arnarg/nixidy,Kubernetes GitOps with Nix and Argo CD.,devops,https://github.com/arnarg/nixidy,https://github.com/arnarg/nixidy,MIT,2023-12-11 11:40:00,2025-08-19 14:57:23,2025-08-19 14:49:48,177,52.0,9.0,7,22.0,3.0,25.0,223,7.0,17,True,1,2025-08-19 06:50:29,0.16.0,17.0,2.0,2.0,,,,,,
77,nix-eval-jobs,nix-community/nix-eval-jobs,Parallel nix evaluator with a streamable json output.,command-line-tools,https://github.com/nix-community/nix-eval-jobs,https://github.com/nix-community/nix-eval-jobs,GPL-3.0,2021-03-15 04:53:42,2025-08-10 15:41:43,2025-07-16 16:39:28,817,25.0,34.0,8,334.0,18.0,25.0,195,24.0,17,True,2,2025-07-16 16:42:16,2.30.0,34.0,,,,,,,,
78,flake-checker-action,DeterminateSystems/flake-checker-action,A GitHub Action that performs health checks for your Nix flake.lock files.,github-actions,https://github.com/DeterminateSystems/flake-checker-action,https://github.com/DeterminateSystems/flake-checker-action,MIT,2023-06-05 11:10:57,2025-07-30 15:49:58,2025-07-30 15:49:58,147,12.0,4.0,3,76.0,1.0,6.0,71,4.0,17,True,3,2025-07-15 02:38:22,12,12.0,1431.0,1431.0,,,,,,
79,nixpkgs-vet,NixOS/nixpkgs-vet,"Tool to vet (check) Nixpkgs, including its pkgs/by-name directory.",command-line-tools,https://github.com/NixOS/nixpkgs-vet,https://github.com/NixOS/nixpkgs-vet,MIT,2024-03-16 08:35:08,2025-06-16 23:33:38,2025-06-16 23:33:38,507,6.0,10.0,8,137.0,28.0,8.0,46,11.0,17,True,2,2024-08-29 22:48:06,0.1.4,5.0,,,1141252.0,67132.0,,,,
80,mitchellh/nixos-config,mitchellh/nixos-config,"NixOS system configurations for a development environment, primarily running in a VM on macOS with VMware Fusion.",nix-configurations,https://github.com/mitchellh/nixos-config,https://github.com/mitchellh/nixos-config,MIT,2020-05-05 05:13:41,2025-07-30 14:31:27,2025-07-30 14:31:22,399,28.0,232.0,42,22.0,8.0,19.0,2593,8.0,16,True,2,,,,,,,,,,,
81,Nixery,tazjin/nixery,A Docker-compatible container registry which builds images ad-hoc via Nix.,deployment-tools,https://github.com/tazjin/nixery,https://github.com/tazjin/nixery,Apache-2.0,2019-07-29 19:39:48,2025-07-20 10:49:55,2025-04-20 11:46:53,249,,72.0,28,94.0,31.0,48.0,1914,11.0,16,True,2,,,,5.0,5.0,,,,,,
82,nix-on-droid,nix-community/nix-on-droid,Nix-enabled environment for your Android device.,distributions,https://github.com/nix-community/nix-on-droid,https://github.com/nix-community/nix-on-droid,MIT,2019-03-06 18:52:50,2025-07-23 12:54:09,2025-07-21 12:28:15,458,2.0,108.0,31,127.0,99.0,202.0,1725,22.0,16,True,2,,,,,,,,['android'],,,
