,name,github_id,description,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,projectrank,show,projectrank_placing,trending,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,contributor_count,dependent_project_count,github_dependent_project_count,labels,updated_github_id,gitlab_id,gitlab_url
133,process-compose-flake,Platonic-Systems/process-compose-flake,A flake-parts module to spin up processes for development by leveraging process-compose.,devops,https://github.com/Platonic-Systems/process-compose-flake,https://github.com/Platonic-Systems/process-compose-flake,MIT,2022-12-08 17:19:30,2026-01-08 09:18:05,2026-01-08 09:18:05,173.0,13.0,27.0,8.0,64.0,13.0,26.0,176,15,True,2,,2023-06-12 20:46:17,0.1.0,,,1.0,18.0,,,,,,
134,nixdoc,nix-community/nixdoc,Tool to generate documentation for Nix library functions.,development,https://github.com/nix-community/nixdoc,https://github.com/nix-community/nixdoc,GPL-3.0,2018-10-25 16:07:24,2026-01-05 21:05:41,2025-11-18 21:22:40,229.0,3.0,16.0,6.0,131.0,5.0,21.0,160,15,True,2,,2025-02-11 21:35:04,3.1.0,,,14.0,14.0,12.0,12.0,,,,
135,NixNeovimPlugins,NixNeovim/NixNeovimPlugins,Makes all neovim plugins available in nix (Auto updated).,overlays,https://github.com/NixNeovim/NixNeovimPlugins,https://github.com/NixNeovim/NixNeovimPlugins,MIT,2022-08-13 14:50:55,2026-01-11 14:30:26,2026-01-11 14:30:25,1462.0,41.0,28.0,1.0,102.0,1.0,45.0,150,15,True,2,,,,,,,37.0,1.0,1.0,,,,
136,flake-checker-action,DeterminateSystems/flake-checker-action,A GitHub Action that performs health checks for your Nix flake.lock files.,github-actions,https://github.com/DeterminateSystems/flake-checker-action,https://github.com/DeterminateSystems/flake-checker-action,MIT,2023-06-05 11:10:57,2025-12-10 20:29:12,2025-12-10 20:29:11,157.0,6.0,5.0,2.0,85.0,,7.0,76,15,True,3,,2025-07-15 02:38:22,12,,,12.0,4.0,1564.0,1564.0,,,,
137,Misterio77/nix-starter-configs,Misterio77/nix-starter-configs,A few simple Nix Flake templates for getting started with NixOS + home-manager.,nix-configurations,https://github.com/Misterio77/nix-starter-configs,https://github.com/Misterio77/nix-starter-configs,CC0-1.0,2021-12-16 20:29:26,2025-11-15 14:24:20,2025-11-15 14:23:54,102.0,5.0,164.0,51.0,23.0,23.0,50.0,3526,14,True,3,,,,,,,14.0,,,,,,
138,deploy-rs,serokell/deploy-rs,A simple multi-profile Nix-flake deploy tool.,deployment-tools,https://github.com/serokell/deploy-rs,https://github.com/serokell/deploy-rs,,2020-09-28 17:46:15,2026-01-05 02:00:44,2025-12-18 09:51:58,346.0,3.0,139.0,23.0,152.0,93.0,115.0,1928,14,True,3,,,,,,,43.0,,,,,,
139,niv,nmattia/niv,Easy dependency management for Nix projects with package pinning.,development,https://github.com/nmattia/niv,https://github.com/nmattia/niv,MIT,2019-01-17 21:00:18,2025-03-02 23:46:25,2025-03-02 23:46:23,465.0,,76.0,17.0,221.0,79.0,113.0,1796,14,True,2,,,,,,,38.0,,,,,,
140,nixos-infect,elitak/nixos-infect,Replace a running non-NixOS Linux host with NixOS.,installation-media,https://github.com/elitak/nixos-infect,https://github.com/elitak/nixos-infect,GPL-3.0,2016-04-18 22:10:28,2024-07-04 02:41:41,2024-03-11 15:41:57,165.0,,270.0,15.0,163.0,52.0,35.0,1718,14,False,3,,,,,,,86.0,,,,,,
141,flake-utils,numtide/flake-utils,Pure Nix flake utility functions to help with writing flakes.,development,https://github.com/numtide/flake-utils,https://github.com/numtide/flake-utils,MIT,2020-04-11 13:21:34,2024-11-13 21:27:18,2024-11-13 21:27:16,102.0,,83.0,20.0,81.0,17.0,24.0,1530,14,False,2,,2022-05-21 09:05:05,1.0.0,,,1.0,28.0,,,,,,
142,nixbsd,nixos-bsd/nixbsd,An unofficial NixOS fork with a FreeBSD kernel.,distributions,https://github.com/nixos-bsd/nixbsd,https://github.com/nixos-bsd/nixbsd,MIT,2023-12-24 23:35:29,2025-12-20 22:04:49,2025-12-20 22:04:48,342.0,9.0,29.0,25.0,15.0,15.0,21.0,831,14,True,2,,,,,,,7.0,,,,,,
