,name,github_id,description,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,projectrank,show,projectrank_placing,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,contributor_count,trending,updated_github_id,dependent_project_count,github_dependent_project_count,labels,new_addition,gitlab_id,gitlab_url
209,amis,NixOS/amis,Home for NixOS AMI automation.,devops,https://github.com/NixOS/amis,https://github.com/NixOS/amis,MIT,2023-11-24 12:54:23,2026-01-23 18:08:25,2026-01-22 02:38:41,304.0,16.0,17.0,3.0,293.0,15.0,28.0,75,12,True,2,,,,,,14.0,,,,,,,,
210,nix-security-tracker,Nix-Security-WG/nix-security-tracker,Web service for managing information on vulnerabilities in software distributed through Nixpkgs.,security,https://github.com/NixOS/nix-security-tracker,https://github.com/NixOS/nix-security-tracker,,2023-08-31 16:49:45,2026-01-23 11:10:05,2026-01-23 11:10:04,714.0,169.0,14.0,9.0,458.0,97.0,150.0,70,12,True,2,,,,,,18.0,,NixOS/nix-security-tracker,,,,,,
211,krewfile,brumhard/krewfile,Declarative krew plugin management.,devops,https://github.com/brumhard/krewfile,https://github.com/brumhard/krewfile,MIT,2022-09-12 11:08:54,2025-12-29 10:07:57,2025-12-29 10:07:34,42.0,4.0,5.0,1.0,11.0,,7.0,42,12,True,2,2025-12-29 10:26:51,0.7.0,1183.0,29.0,12.0,7.0,,,,,,,,
212,nix-tree,utdemir/nix-tree,Interactively browse the dependency graph of Nix derivations.,command-line-tools,https://github.com/utdemir/nix-tree,https://github.com/utdemir/nix-tree,BSD-3-Clause,2020-06-24 22:41:51,2026-01-06 09:13:22,2026-01-06 09:13:22,241.0,2.0,18.0,5.0,79.0,15.0,39.0,965,11,True,2,,,,,,14.0,,,,,,,,
213,not-os,cleverca22/not-os,"An operating system generator, based on NixOS, that outputs a small read-only squashfs for a runit-based operating..",distributions,https://github.com/cleverca22/not-os,https://github.com/cleverca22/not-os,MIT,2016-06-03 05:40:23,2025-01-12 16:03:40,2025-01-12 16:03:38,98.0,,39.0,36.0,24.0,6.0,4.0,954,11,True,3,,,,,,5.0,,,,,,,,
214,deadnix,astro/deadnix,Scan Nix files for dead code.,command-line-tools,https://github.com/astro/deadnix,https://github.com/astro/deadnix,GPL-3.0,2021-12-05 23:06:43,2025-12-15 18:02:07,2025-11-25 23:49:03,299.0,6.0,20.0,2.0,85.0,3.0,24.0,706,11,True,2,,,,,,18.0,,,7.0,7.0,,,,
215,nixos-in-production,Gabriella439/nixos-in-production,"Source files for the book NixOS in Production, a practical guide for using NixOS in professional environments.",learning,https://github.com/Gabriella439/nixos-in-production,https://github.com/Gabriella439/nixos-in-production,,2022-09-09 01:41:56,2024-10-06 12:50:20,2024-10-06 12:49:49,127.0,,27.0,29.0,5.0,6.0,21.0,624,11,False,3,2024-09-23 06:00:28,0.10,,,10.0,6.0,,,,,,,,
216,nix-colors,Misterio77/nix-colors,Modules and schemes to make theming with Nix awesome.,theming,https://github.com/Misterio77/nix-colors,https://github.com/Misterio77/nix-colors,GPL-3.0,2021-10-01 19:43:28,2024-05-23 18:39:21,2024-02-13 11:51:18,97.0,,43.0,6.0,28.0,16.0,20.0,579,11,False,3,2023-04-21 20:19:53,4.0.0,,,4.0,12.0,,,,,,,,
217,nixos-vscode-server,nix-community/nixos-vscode-server,Visual Studio Code Server support in NixOS.,development,https://github.com/nix-community/nixos-vscode-server,https://github.com/nix-community/nixos-vscode-server,MIT,2020-04-02 12:49:32,2025-07-26 14:57:06,2025-07-26 14:57:06,91.0,,82.0,9.0,40.0,13.0,46.0,527,11,True,3,,,,,,19.0,,,,,,,,
218,Standard,divnix/std,"An opinionated Nix Flakes framework to keep Nix code in large projects organized, accompanied by a friendly CLI/TUI..",devops,https://github.com/divnix/std,https://github.com/divnix/std,,2021-11-14 10:56:16,2025-08-25 16:03:19,2025-08-17 20:42:10,813.0,,48.0,13.0,248.0,40.0,129.0,479,11,True,3,,,,,,43.0,,,,,,,,
219,NixNG,nix-community/NixNG,"A GNU/Linux distribution similar to NixOS, defining difference is a focus on containers and lightweightness.",distributions,https://github.com/nix-community/NixNG,https://github.com/nix-community/NixNG,,2021-06-21 05:05:39,2026-01-25 13:27:55,2026-01-25 13:27:54,407.0,64.0,20.0,13.0,60.0,16.0,9.0,432,11,True,3,,,,,,11.0,,,,,,,,
220,ragenix,yaxitech/ragenix,age-encrypted secrets for NixOS; drop-in replacement for agenix.,security,https://github.com/yaxitech/ragenix,https://github.com/yaxitech/ragenix,Apache-2.0,2021-05-07 22:41:54,2026-01-06 18:21:34,2025-10-30 14:01:53,169.0,1.0,22.0,6.0,147.0,12.0,6.0,429,11,True,3,,,,,,14.0,,,,,,,,
221,terraform-nixos,nix-community/terraform-nixos,A set of Terraform modules designed to deploy NixOS.,deployment-tools,https://github.com/nix-community/terraform-nixos,https://github.com/nix-community/terraform-nixos,Apache-2.0,2018-12-05 17:07:26,2024-08-04 10:19:37,2021-08-26 20:33:37,76.0,,60.0,35.0,54.0,23.0,10.0,398,11,False,3,,,,,,16.0,,,,,,,,
