,name,github_id,description,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,contributor_count,projectrank,show,projectrank_placing,trending,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,labels,updated_github_id,gitlab_id,gitlab_url
150,tree-sitter-nix,nix-community/tree-sitter-nix,Nix grammar for tree-sitter.,development,https://github.com/nix-community/tree-sitter-nix,https://github.com/nix-community/tree-sitter-nix,MIT,2019-03-22 10:12:10,2025-10-25 01:36:26,2025-08-11 14:30:35,185.0,2.0,44.0,2.0,107.0,19.0,29.0,208,21.0,14,True,2,,,,,,,17.0,17.0,,,,
151,Easy PureScript Nix,justinwoo/easy-purescript-nix,A project to easily use PureScript and other tools with Nix.,programming-languages,https://github.com/justinwoo/easy-purescript-nix,https://github.com/justinwoo/easy-purescript-nix,MIT,2018-10-21 15:16:08,2025-08-03 20:23:24,2025-08-03 20:23:24,460.0,4.0,54.0,7.0,195.0,7.0,31.0,206,32.0,14,True,2,,,,,,,,,,,,
152,nix-idea,NixOS/nix-idea,Nix plugin for the IntelliJ IDEA IDE.,editors-and-ides,https://github.com/NixOS/nix-idea,https://github.com/NixOS/nix-idea,Apache-2.0,2016-09-08 08:44:59,2025-08-20 15:43:35,2025-08-20 15:42:50,309.0,1.0,28.0,44.0,59.0,11.0,24.0,200,17.0,14,True,3,,2025-07-04 13:35:36,0.4.0.18,313.0,2.0,28.0,,,,,,
153,process-compose-flake,Platonic-Systems/process-compose-flake,A flake-parts module to spin up processes for development by leveraging process-compose.,devops,https://github.com/Platonic-Systems/process-compose-flake,https://github.com/Platonic-Systems/process-compose-flake,MIT,2022-12-08 17:19:30,2025-10-21 16:26:38,2025-10-21 16:26:38,162.0,3.0,25.0,8.0,57.0,11.0,23.0,160,16.0,14,True,2,,2023-06-12 20:46:17,0.1.0,,,1.0,,,,,,
154,NixNeovimPlugins,NixNeovim/NixNeovimPlugins,Makes all neovim plugins available in nix (Auto updated).,overlays,https://github.com/NixNeovim/NixNeovimPlugins,https://github.com/NixNeovim/NixNeovimPlugins,MIT,2022-08-13 14:50:55,2025-10-26 14:24:30,2025-10-26 14:24:29,1425.0,30.0,26.0,1.0,95.0,1.0,44.0,145,34.0,14,True,2,,,,,,,1.0,1.0,,,,
155,bombon,nikstur/bombon,Nix CycloneDX Software Bills of Materials (SBOMs).,security,https://github.com/nikstur/bombon,https://github.com/nikstur/bombon,MIT,2022-08-18 23:06:53,2025-10-09 16:52:26,2025-10-09 16:39:45,429.0,29.0,12.0,3.0,155.0,12.0,16.0,106,8.0,14,True,2,,2025-10-09 16:53:17,0.4.0,,,4.0,,,,,,
156,Misterio77/nix-starter-configs,Misterio77/nix-starter-configs,A few simple Nix Flake templates for getting started with NixOS + home-manager.,nix-configurations,https://github.com/Misterio77/nix-starter-configs,https://github.com/Misterio77/nix-starter-configs,CC0-1.0,2021-12-16 20:29:26,2024-09-07 01:05:58,2024-09-07 01:05:58,97.0,,160.0,50.0,22.0,23.0,50.0,3406,10.0,13,False,3,,,,,,,,,,,,
157,deploy-rs,serokell/deploy-rs,A simple multi-profile Nix-flake deploy tool.,deployment-tools,https://github.com/serokell/deploy-rs,https://github.com/serokell/deploy-rs,,2020-09-28 17:46:15,2025-10-20 02:00:49,2025-09-01 09:39:07,341.0,1.0,125.0,24.0,146.0,92.0,110.0,1826,40.0,13,True,2,,,,,,,,,,,,
158,tvix,tvlfyi/tvix,Tvix - A Rust implementation of Nix.,programming-languages,https://github.com/tvlfyi/tvix,https://github.com/tvlfyi/tvix,GPL-3.0,2023-02-01 16:57:15,2025-10-03 17:07:28,2025-10-03 16:59:09,3211.0,15.0,15.0,17.0,3.0,,,918,51.0,13,True,2,,,,,,,,,['rust'],,,
159,nixGL,nix-community/nixGL,A wrapper tool for nix OpenGL application.,nixos-modules,https://github.com/nix-community/nixGL,https://github.com/nix-community/nixGL,MIT,2017-09-16 10:18:56,2025-07-09 09:52:44,2025-07-09 09:52:44,179.0,,122.0,14.0,80.0,73.0,58.0,887,29.0,13,True,2,,,,,,,,,,,,
160,musnix,musnix/musnix,Do real-time audio work in NixOS.,nixos-modules,https://github.com/musnix/musnix,https://github.com/musnix/musnix,BSD-3-Clause,2014-12-22 20:57:55,2025-10-03 01:14:11,2025-09-02 22:38:50,417.0,1.0,60.0,16.0,157.0,11.0,54.0,786,37.0,13,True,2,,,,,,,,,,,,
161,nix2container,nlewo/nix2container,An archive-less dockerTools.buildImage implementation.,deployment-tools,https://github.com/nlewo/nix2container,https://github.com/nlewo/nix2container,Apache-2.0,2021-12-23 09:45:34,2025-07-08 19:26:04,2025-07-08 19:26:03,203.0,,65.0,13.0,79.0,49.0,50.0,733,29.0,13,True,2,,,,,,,,,,,,
162,NixOps4,nixops4/nixops4,Deploy with Nix and manage resources declaratively.,deployment-tools,https://github.com/nixops4/nixops4,https://github.com/nixops4/nixops4,LGPL-2.1,2024-03-18 14:07:58,2025-10-26 22:56:42,2025-10-08 16:51:02,424.0,69.0,17.0,31.0,90.0,11.0,10.0,713,8.0,13,True,2,,,,,,,,,,,,
163,nixos-cosmic,lilyinstarlight/nixos-cosmic,Flake for using COSMIC on NixOS.,nixos-modules,https://github.com/lilyinstarlight/nixos-cosmic,https://github.com/lilyinstarlight/nixos-cosmic,MIT,2024-02-27 23:59:10,2025-10-26 23:23:08,2025-07-04 01:16:54,949.0,,47.0,10.0,707.0,45.0,113.0,643,20.0,13,True,2,,,,,,,,,,,,
164,nixpkgs-mozilla,mozilla/nixpkgs-mozilla,Mozilla overlay for Nixpkgs.,overlays,https://github.com/mozilla/nixpkgs-mozilla,https://github.com/mozilla/nixpkgs-mozilla,MIT,2016-06-16 22:14:00,2025-04-14 09:54:33,2025-04-14 09:54:33,273.0,,127.0,14.0,202.0,51.0,92.0,568,65.0,13,True,3,,,,,,,,,,,,
165,rnix-parser,nix-community/rnix-parser,A Nix parser written in Rust.,development,https://github.com/nix-community/rnix-parser,https://github.com/nix-community/rnix-parser,MIT,2018-08-11 12:29:05,2025-01-09 22:07:46,2025-01-09 22:07:46,362.0,,49.0,7.0,117.0,11.0,46.0,412,26.0,13,True,3,,,,,,,2.0,2.0,,,,
