,name,github_id,description,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,projectrank,show,projectrank_placing,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,contributor_count,updated_github_id,dependent_project_count,github_dependent_project_count,labels,trending,gitlab_id,gitlab_url
273,typhon,typhon-ci/typhon,Nix-based continuous integration.,devops,https://github.com/typhon-ci/typhon,https://github.com/typhon-ci/typhon,AGPL-3.0,2022-10-01 10:47:12,2024-11-04 00:35:31,2024-10-31 11:21:33,592.0,,6.0,8.0,50.0,16.0,13.0,222,9,False,3,,,,,,3.0,,,,,,,
274,dwarffs,edolstra/dwarffs,A FUSE filesystem that allows tools like gdb to look up debug info files via HTTP.,command-line-tools,https://github.com/edolstra/dwarffs,https://github.com/edolstra/dwarffs,GPL-3.0,2017-07-06 16:43:44,2025-09-19 09:58:16,2025-09-19 09:58:16,87.0,,25.0,10.0,17.0,5.0,10.0,214,9,True,3,,,,,,9.0,,,,,,,
275,nix-visualize,craigmbooth/nix-visualize,Uses the Nix package manager to visualize the dependencies of a given package.,command-line-tools,https://github.com/craigmbooth/nix-visualize,https://github.com/craigmbooth/nix-visualize,Apache-2.0,2016-12-31 21:28:31,2024-01-17 18:22:40,2024-01-17 18:22:40,52.0,,11.0,5.0,6.0,2.0,3.0,203,9,False,3,,,,,,7.0,,,,,,,
276,nocargo,oxalica/nocargo,Build Rust crates with Nix Build System.,programming-languages,https://github.com/oxalica/nocargo,https://github.com/oxalica/nocargo,MIT,2021-06-09 16:38:38,2025-04-30 06:47:40,2025-04-30 06:47:40,128.0,,7.0,5.0,9.0,6.0,9.0,176,9,True,3,,,,,,4.0,,2.0,2.0,['rust'],,,
277,jordanisaacs/kernel-module-flake,jordanisaacs/kernel-module-flake,Nix flake for linux kernel module development with rust support.,development,https://github.com/jordanisaacs/kernel-development-flake,https://github.com/jordanisaacs/kernel-development-flake,MIT,2022-11-11 23:03:41,2025-11-28 22:03:10,2025-11-28 22:02:48,50.0,17.0,14.0,3.0,3.0,2.0,4.0,166,9,True,3,,,,,,2.0,jordanisaacs/kernel-development-flake,,,,,,
278,pog,jpetrucciani/pog,"A new, powerful way to do bash scripts.",command-line-tools,https://github.com/jpetrucciani/pog,https://github.com/jpetrucciani/pog,MIT,2022-02-13 17:03:03,2026-01-08 05:19:08,2026-01-08 05:19:02,29.0,4.0,1.0,3.0,8.0,6.0,,150,9,True,3,,,,,,3.0,,,,,,,
279,gradle2nix,tadfisher/gradle2nix,Generate Nix expressions which build Gradle-based projects.,programming-languages,https://github.com/tadfisher/gradle2nix,https://github.com/tadfisher/gradle2nix,MIT,2019-04-01 16:26:33,2025-08-22 22:43:27,2023-09-30 19:19:09,51.0,,58.0,5.0,35.0,38.0,18.0,143,9,False,3,,,,,,5.0,,,,,,,
280,NixNeovim,NixNeovim/NixNeovim,Configure Neovim with Nix.,editors-and-ides,https://github.com/NixNeovim/NixNeovim,https://github.com/NixNeovim/NixNeovim,MIT,2022-08-13 11:03:23,2024-08-23 13:37:39,2024-08-23 13:37:31,754.0,,14.0,2.0,78.0,6.0,42.0,133,9,False,3,,,,,,18.0,,1.0,1.0,,,,
281,namaka,nix-community/namaka,Snapshot testing for Nix based on haumea.,development,https://github.com/nix-community/namaka,https://github.com/nix-community/namaka,MPL-2.0,2023-04-09 02:24:14,2025-02-12 16:53:55,2024-11-17 00:47:29,359.0,,4.0,2.0,202.0,3.0,1.0,132,9,False,3,2024-11-17 00:47:49,0.2.1,,,4.0,3.0,,1.0,1.0,,,,
282,templates,nix-community/templates,Project templates for many languages using Nix flakes.,development,https://github.com/nix-community/templates,https://github.com/nix-community/templates,MIT,2022-02-01 19:26:15,2026-01-25 21:05:03,2026-01-25 21:05:03,68.0,4.0,12.0,3.0,10.0,1.0,5.0,124,9,True,3,,,,,,9.0,,,,,,,
