,name,github_id,description,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,contributor_count,projectrank,show,projectrank_placing,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,github_release_downloads,monthly_downloads,labels,trending,updated_github_id
199,Nixinate,MatthewCroughan/nixinate,A Nix flake library to provide app outputs for managing existing NixOS hosts over SSH.,deployment-tools,https://github.com/MatthewCroughan/nixinate,https://github.com/MatthewCroughan/nixinate,MIT,2022-01-03 09:39:11,2025-03-23 13:46:49,2025-03-23 13:46:47,59,,34.0,11,27.0,14.0,15.0,268,7.0,10,True,3,,,,,,,,,,
200,nix-netboot-serve,DeterminateSystems/nix-netboot-serve,Make any NixOS system netbootable with 10s cycle times.,installation-media,https://github.com/DeterminateSystems/nix-netboot-serve,https://github.com/DeterminateSystems/nix-netboot-serve,MIT,2021-09-01 17:05:39,2025-04-09 16:01:57,2025-04-09 16:01:55,95,4.0,13.0,5,24.0,5.0,2.0,222,5.0,10,True,3,2021-09-03 19:17:30,0.1.0,1.0,,,,,,,
201,lf-doc,lf-/nix-doc,An interactive Nix documentation tool providing CLI for function search.,command-line-tools,https://github.com/lf-/nix-doc,https://github.com/lf-/nix-doc,,2020-07-16 08:49:20,2024-05-15 22:15:48,2024-05-15 22:15:48,80,,6.0,6,4.0,8.0,17.0,217,3.0,10,False,3,2021-07-09 03:37:24,0.5.1,2.0,5.0,5.0,,,,,
202,nixcloud-webservices,nixcloud/nixcloud-webservices,"This nixpkgs extension, called nixcloud-webservices, focuses on ease of deployment of web-related technologies.",deployment-tools,https://github.com/nixcloud/nixcloud-webservices,https://github.com/nixcloud/nixcloud-webservices,,2017-11-17 23:06:20,2024-10-18 11:02:38,2024-10-18 11:02:38,467,,26.0,13,29.0,18.0,40.0,182,14.0,10,True,3,,,,,,,,,,
203,nixsa,noamraph/nixsa,A Nix Standalone Environment.,installation-media,https://github.com/noamraph/nixsa,https://github.com/noamraph/nixsa,LGPL-2.1,2024-08-05 19:57:39,2025-04-01 21:49:26,2025-04-01 21:30:56,69,3.0,2.0,2,16.0,2.0,9.0,166,4.0,10,True,3,2024-11-17 20:35:16,0.2.0,6.0,,,292.0,29.0,,,
204,nixiosk,matthewbauer/nixiosk,Declarative Kiosk systems built with NixOS.,nixos-modules,https://github.com/matthewbauer/nixiosk,https://github.com/matthewbauer/nixiosk,MIT,2020-02-22 21:05:04,2023-03-19 01:28:23,2023-03-19 01:28:04,289,,12.0,7,10.0,14.0,5.0,158,6.0,10,False,3,,,,,,,,,,
205,npmlock2nix,nix-community/npmlock2nix,"Generate Nix expressions from a `package-lock.json` (in-memory), primarily for web projects.",programming-languages,https://github.com/nix-community/npmlock2nix,https://github.com/nix-community/npmlock2nix,Apache-2.0,2020-07-22 14:21:40,2024-01-20 21:45:48,2023-01-11 14:30:13,286,,36.0,4,137.0,37.0,20.0,136,15.0,10,False,3,,,,,,,,,,
206,gradle2nix,tadfisher/gradle2nix,Generate Nix expressions which build Gradle-based projects.,programming-languages,https://github.com/tadfisher/gradle2nix,https://github.com/tadfisher/gradle2nix,MIT,2019-04-01 16:26:33,2025-04-02 21:31:27,2023-09-30 19:19:09,51,,55.0,6,34.0,34.0,18.0,132,5.0,10,False,3,,,,,,,,,,
207,namaka,nix-community/namaka,Snapshot testing for Nix based on haumea.,development,https://github.com/nix-community/namaka,https://github.com/nix-community/namaka,MPL-2.0,2023-04-09 02:24:14,2025-02-12 16:53:55,2024-11-17 00:47:29,359,,4.0,4,202.0,2.0,1.0,124,3.0,10,True,3,2024-11-17 00:47:49,0.2.1,4.0,1.0,1.0,,,,,
208,nix-super,privatevoid-net/nix-super,A fork of the Nix package manager.,development,https://github.com/privatevoid-net/nix-super,https://github.com/privatevoid-net/nix-super,LGPL-2.1,2022-08-25 22:06:01,2024-12-04 19:10:18,2024-12-04 19:02:17,18826,,2.0,4,16.0,1.0,2.0,85,750.0,10,True,3,,,,,,,,,,
