,name,github_id,description,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,projectrank,show,projectrank_placing,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,contributor_count,dependent_project_count,github_dependent_project_count,updated_github_id,labels,trending,gitlab_id,gitlab_url
54,digga,divnix/digga,"A Nix flake utility library to structure your home, system, and development configurations.",development,https://github.com/divnix/digga,https://github.com/divnix/digga,MIT,2019-11-12 22:28:16,2024-05-17 10:20:04,2024-05-17 10:19:41,1358.0,,104.0,21.0,248.0,28.0,172.0,1025,18,False,1,2022-04-02 22:16:50,0.11.0,,,4.0,53.0,,,,,,,
55,Jovian-NixOS,Jovian-Experiments/Jovian-NixOS,NixOS modules for gaming with Steam Deck compatibility.,nixos-modules,https://github.com/Jovian-Experiments/Jovian-NixOS,https://github.com/Jovian-Experiments/Jovian-NixOS,MIT,2022-03-23 02:29:23,2026-04-04 07:25:10,2026-04-04 07:24:56,1571.0,107.0,80.0,24.0,352.0,46.0,129.0,939,18,True,2,,,,,,23.0,,,,,,,
56,nixos-shell,Mic92/nixos-shell,Simple headless VM configuration using Nix (similar to Vagrant).,virtualisation,https://github.com/Mic92/nixos-shell,https://github.com/Mic92/nixos-shell,MIT,2018-04-03 21:46:23,2026-04-05 04:57:54,2026-04-05 04:57:53,240.0,32.0,40.0,17.0,89.0,11.0,45.0,860,18,True,2,2026-02-15 16:15:07,2.1.0,,,6.0,24.0,,,,,,,
57,comin,nlewo/comin,A deployment tool to continuously pull from Git repositories.,deployment-tools,https://github.com/nlewo/comin,https://github.com/nlewo/comin,MIT,2022-12-10 09:13:26,2026-04-05 08:07:41,2026-04-05 08:07:41,386.0,42.0,43.0,6.0,86.0,25.0,35.0,849,18,True,1,2026-03-24 18:36:58,0.12.0,,,13.0,21.0,,,,,,,
58,vulnix,nix-community/vulnix,Vulnerability (CVE) scanner for Nix/NixOS.,security,https://github.com/nix-community/vulnix,https://github.com/nix-community/vulnix,BSD-3-Clause,2016-06-27 08:08:54,2026-03-27 18:14:02,2026-02-17 08:50:04,370.0,5.0,43.0,13.0,85.0,18.0,55.0,744,18,True,1,2026-02-17 09:02:10,1.12.3,,,7.0,27.0,3.0,3.0,,,,,
59,nurl,nix-community/nurl,Generate Nix fetcher calls from repository URLs.,command-line-tools,https://github.com/nix-community/nurl,https://github.com/nix-community/nurl,MPL-2.0,2022-12-30 02:06:33,2026-04-03 16:32:15,2026-04-03 16:32:13,862.0,126.0,11.0,2.0,431.0,12.0,12.0,714,18,True,2,2026-02-06 15:24:05,0.4.0,1110.0,27.0,19.0,4.0,16.0,16.0,,,,,
60,nixpkgs-wayland,nix-community/nixpkgs-wayland,Bleeding-edge Wayland packages.,overlays,https://github.com/nix-community/nixpkgs-wayland,https://github.com/nix-community/nixpkgs-wayland,,2018-10-24 01:30:44,2026-04-05 19:10:25,2026-04-05 19:04:10,11189.0,335.0,45.0,6.0,269.0,49.0,189.0,602,18,True,2,,,,,,34.0,,,,,,,
61,lix,lix-project/lix,"A modern, delicious implementation of the Nix package manager, focused on correctness, usability, and growth.",command-line-tools,https://github.com/lix-project/lix,https://github.com/lix-project/lix,LGPL-2.1,2024-02-26 00:52:04,2026-03-30 21:17:46,2026-03-28 18:08:37,19103.0,361.0,15.0,10.0,18.0,,,550,18,True,2,,,,,,703.0,4.0,4.0,,,,,
62,MCP-NixOS,utensils/mcp-nixos,"An MCP server that provides AI assistants with accurate information about NixOS packages, options, Home Manager, and..",ai-tooling,https://github.com/utensils/mcp-nixos,https://github.com/utensils/mcp-nixos,MIT,2025-03-20 05:05:00,2026-04-03 15:22:52,2026-04-03 15:17:55,417.0,46.0,29.0,6.0,89.0,1.0,31.0,538,18,True,2,2026-04-03 15:23:07,2.3.1,,,11.0,9.0,2.0,2.0,,,,,
63,nix-fast-build,Mic92/nix-fast-build,Combine the power of nix-eval-jobs with nix-output-monitor to speed-up your evaluation and building process.,development,https://github.com/Mic92/nix-fast-build,https://github.com/Mic92/nix-fast-build,MIT,2023-09-08 08:11:43,2026-04-05 04:44:17,2026-04-05 04:44:16,439.0,53.0,30.0,4.0,275.0,10.0,30.0,468,18,True,1,2026-03-18 12:28:50,1.4.0,,,5.0,18.0,,,,,,,
64,rnix-parser,nix-community/rnix-parser,A Nix parser written in Rust.,development,https://github.com/nix-community/rnix-parser,https://github.com/nix-community/rnix-parser,MIT,2018-08-11 12:29:05,2026-02-16 18:52:16,2026-02-16 18:52:15,414.0,48.0,50.0,6.0,124.0,7.0,52.0,460,18,True,1,2026-02-16 18:49:48,0.14.0,,,1.0,31.0,2.0,2.0,,,,,
65,ngipkgs,ngi-nix/ngipkgs,Nix packages and services for projects supported through the NGI program.,overlays,https://github.com/ngi-nix/ngipkgs,https://github.com/ngi-nix/ngipkgs,MIT,2023-02-14 11:21:46,2026-04-01 08:44:15,2026-04-01 07:28:08,1938.0,235.0,53.0,7.0,1003.0,445.0,785.0,82,18,True,2,,,,,,64.0,,,,,,,
66,nh,nix-community/nh,"Better output for `nix`, `nixos-rebuild`, `home-manager` and nix-darwin CLI leveraging `dix` and `nix-output-monitor`.",command-line-tools,https://github.com/nix-community/nh,https://github.com/nix-community/nh,EUPL-1.2,2022-02-08 19:42:42,2026-04-04 21:00:14,2026-04-04 21:00:12,1094.0,155.0,90.0,6.0,269.0,65.0,253.0,2543,17,True,2,,,,,,48.0,,,,,,,
67,dev-templates,the-nix-way/dev-templates,Dev environments for numerous languages based on Nix flakes.,learning,https://github.com/the-nix-way/dev-templates,https://github.com/the-nix-way/dev-templates,MPL-2.0,2022-07-12 00:03:07,2026-04-03 20:14:23,2026-04-03 20:14:23,367.0,12.0,178.0,10.0,70.0,5.0,21.0,2245,17,True,2,,,,,,36.0,,,,,,,
68,Colmena,zhaofengli/colmena,"A simple, stateless NixOS deployment tool modeled after NixOps and morph.",deployment-tools,https://github.com/zhaofengli/colmena,https://github.com/zhaofengli/colmena,MIT,2020-12-16 04:21:43,2026-04-03 10:09:43,2025-11-01 22:07:36,630.0,,99.0,11.0,115.0,120.0,99.0,2085,17,True,2,2023-05-15 05:17:28,0.4.0,,,7.0,37.0,,,,,,,
69,nix-on-droid,nix-community/nix-on-droid,Nix-enabled environment for your Android device.,distributions,https://github.com/nix-community/nix-on-droid,https://github.com/nix-community/nix-on-droid,MIT,2019-03-06 18:52:50,2026-03-01 17:57:49,2025-12-06 14:25:49,460.0,,139.0,32.0,139.0,116.0,209.0,1995,17,True,2,,,,,,23.0,,,,['android'],,,
70,hlissner/dotfiles,hlissner/dotfiles,A comprehensive NixOS configuration example with detailed module structure.,nix-configurations,https://github.com/hlissner/dotfiles,https://github.com/hlissner/dotfiles,MIT,2013-03-01 08:33:14,2026-02-11 23:22:27,2026-02-11 23:21:23,2695.0,10.0,100.0,41.0,10.0,4.0,25.0,1903,17,True,2,,,,,,7.0,,,,,,,
71,nix-ld,nix-community/nix-ld,Run unpatched dynamic binaries on NixOS.,development,https://github.com/nix-community/nix-ld,https://github.com/nix-community/nix-ld,MIT,2020-11-15 09:46:18,2026-03-30 08:51:12,2026-03-16 08:48:22,504.0,20.0,24.0,13.0,187.0,10.0,30.0,1588,17,True,2,2025-10-01 21:29:45,2.0.6,,,16.0,17.0,,,,,-1.0,,
72,nix-portable,DavHau/nix-portable,"Nix - Static, Permissionless, Installation-free, Pre-configured.",installation-media,https://github.com/DavHau/nix-portable,https://github.com/DavHau/nix-portable,MIT,2021-02-08 07:12:43,2026-04-02 00:16:14,2026-02-05 06:56:23,180.0,3.0,55.0,15.0,85.0,59.0,23.0,1262,17,True,2,2024-04-15 08:53:22,012,45784.0,738.0,12.0,13.0,,,,,,,
73,nix-index,nix-community/nix-index,Quickly locate Nix packages with specific files.,command-line-tools,https://github.com/nix-community/nix-index,https://github.com/nix-community/nix-index,,2017-02-10 15:50:02,2026-03-30 13:13:03,2026-03-30 13:13:02,327.0,5.0,70.0,7.0,177.0,71.0,53.0,1242,17,True,2,2025-07-17 14:30:55,0.1.9,,,6.0,37.0,28.0,28.0,,,,,
74,fenix,nix-community/fenix,Rust toolchains and Rust analyzer nightly for nix.,programming-languages,https://github.com/nix-community/fenix,https://github.com/nix-community/fenix,MPL-2.0,2021-01-02 22:51:56,2026-04-05 07:36:43,2026-04-05 07:25:29,2616.0,100.0,63.0,7.0,124.0,33.0,76.0,1022,17,True,2,,,,,,31.0,,,,['rust'],,,
75,srvos,nix-community/srvos,NixOS profiles for servers.,nixos-modules,https://github.com/nix-community/srvos,https://github.com/nix-community/srvos,MIT,2022-12-01 16:34:50,2026-04-02 02:12:24,2026-04-02 02:11:10,1382.0,75.0,57.0,20.0,746.0,12.0,33.0,929,17,True,2,,,,,,44.0,,,,,,,
76,mach-nix,DavHau/mach-nix,Create highly reproducible python environments.,programming-languages,https://github.com/DavHau/mach-nix,https://github.com/DavHau/mach-nix,MIT,2020-04-22 09:32:18,2024-05-20 21:27:05,2024-05-09 13:40:43,564.0,,109.0,9.0,149.0,208.0,227.0,895,17,False,2,2022-06-01 12:00:53,3.5.0,,,19.0,47.0,3.0,3.0,,['python'],,,
77,jupyenv,tweag/jupyenv,Declarative and reproducible Jupyter environments - powered by Nix.,development,https://github.com/tweag/jupyenv,https://github.com/tweag/jupyenv,MIT,2018-12-18 10:10:58,2026-04-05 00:22:35,2024-12-03 01:17:10,594.0,,146.0,29.0,368.0,39.0,170.0,739,17,False,2,2023-01-31 21:35:49,0.1.0,,,1.0,39.0,,,,,,,
78,services-flake,juspay/services-flake,A NixOS-like service configuration framework for Nix flakes.,development,https://github.com/juspay/services-flake,https://github.com/juspay/services-flake,MIT,2023-06-19 21:44:26,2026-04-05 01:00:10,2026-04-05 01:00:09,660.0,32.0,61.0,11.0,517.0,39.0,92.0,728,17,True,2,2024-12-10 12:11:02,0.4.0,,,4.0,37.0,,,,,,,
79,NixOS Search,NixOS/nixos-search,Search NixOS packages and options.,discovery,https://github.com/NixOS/nixos-search,https://github.com/NixOS/nixos-search,MIT,2020-03-28 04:16:53,2026-04-05 09:42:20,2026-04-05 09:42:18,602.0,28.0,150.0,10.0,687.0,140.0,310.0,537,17,True,1,,,,,,110.0,,,,,,,
80,npins,andir/npins,A simple tool for handling different types of dependencies in a Nix project.,development,https://github.com/andir/npins,https://github.com/andir/npins,EUPL-1.2,2021-07-31 15:30:32,2026-04-03 20:53:28,2026-04-03 20:53:28,370.0,38.0,39.0,12.0,136.0,23.0,54.0,503,17,True,2,2025-12-21 17:49:31,0.4.0,,,7.0,32.0,,,,,,,
81,vscode-nix-ide,nix-community/vscode-nix-ide,Nix language support for Visual Studio Code.,editors-and-ides,https://github.com/nix-community/vscode-nix-ide,https://github.com/nix-community/vscode-nix-ide,MIT,2020-07-12 23:06:57,2026-04-01 15:02:25,2026-04-01 15:01:58,479.0,4.0,39.0,6.0,443.0,16.0,66.0,478,17,True,2,2025-12-27 09:14:59,0.5.5,472.0,7.0,40.0,34.0,,,,,,,
82,KubeNix,hall/kubenix,A Kubernetes resource builder using Nix.,deployment-tools,https://github.com/hall/kubenix,https://github.com/hall/kubenix,MIT,2022-08-12 02:40:33,2026-04-05 00:19:34,2026-03-26 15:21:29,461.0,21.0,42.0,12.0,69.0,18.0,33.0,469,17,True,2,2024-05-06 23:34:26,0.3.0,,,3.0,27.0,,,,,,,
83,harmonia,nix-community/harmonia,Nix binary cache implemented in Rust.,development,https://github.com/nix-community/harmonia,https://github.com/nix-community/harmonia,,2023-01-22 21:22:29,2026-04-02 03:03:06,2026-04-02 02:58:36,1731.0,309.0,33.0,2.0,916.0,9.0,20.0,455,17,True,2,2026-02-08 16:09:03,harmonia-v3.0.0,,,23.0,29.0,5.0,5.0,,,,,
84,nixos-images,nix-community/nixos-images,Automatically build (netboot) images for NixOS.,installation-media,https://github.com/nix-community/nixos-images,https://github.com/nix-community/nixos-images,MIT,2021-06-10 04:52:45,2026-04-05 08:07:53,2026-03-16 10:50:43,673.0,2.0,58.0,4.0,361.0,7.0,27.0,376,17,True,2,2025-12-26 17:30:28,nixos-25.11,53654.0,1031.0,13.0,25.0,,,,,,,
85,gomod2nix,nix-community/gomod2nix,Convert applications using Go modules to Nix expressions.,programming-languages,https://github.com/nix-community/gomod2nix,https://github.com/nix-community/gomod2nix,MIT,2020-12-03 13:56:10,2026-03-30 10:59:26,2026-02-08 21:18:40,334.0,7.0,74.0,1.0,180.0,34.0,46.0,301,17,True,2,2025-08-27 11:32:40,1.7.0,,,9.0,29.0,10.0,10.0,,,,,
