,name,github_id,description,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,contributor_count,projectrank,show,projectrank_placing,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,github_release_downloads,monthly_downloads,labels,trending,updated_github_id,gitlab_id,gitlab_url
168,nixpkgs-mozilla,mozilla/nixpkgs-mozilla,Mozilla overlay for Nixpkgs.,overlays,https://github.com/mozilla/nixpkgs-mozilla,https://github.com/mozilla/nixpkgs-mozilla,MIT,2016-06-16 22:14:00,2025-04-14 09:54:33,2025-04-14 09:54:33,273.0,,126.0,15.0,201.0,51.0,92.0,565,65.0,13,True,3.0,,,,,,,,,,,,
169,rnix-parser,nix-community/rnix-parser,A Nix parser written in Rust.,development,https://github.com/nix-community/rnix-parser,https://github.com/nix-community/rnix-parser,MIT,2018-08-11 12:29:05,2025-01-09 22:07:46,2025-01-09 22:07:46,362.0,,47.0,8.0,116.0,11.0,46.0,409,26.0,13,True,3.0,,,,2.0,2.0,,,,,,,
170,nix-mineral,cynicsketch/nix-mineral,Conveniently and reasonably harden NixOS.,nixos-modules,https://github.com/cynicsketch/nix-mineral,https://github.com/cynicsketch/nix-mineral,GPL-3.0,2024-05-10 21:02:28,2025-09-08 21:05:36,2025-09-08 21:05:35,195.0,10.0,17.0,7.0,27.0,25.0,27.0,325,7.0,13,True,3.0,,,7.0,,,,,,,,,
171,flakelight,nix-community/flakelight,A modular flake framework aiming to minimize boilerplate.,development,https://github.com/nix-community/flakelight,https://github.com/nix-community/flakelight,MIT,2023-04-09 00:56:54,2025-09-08 12:49:52,2025-09-08 12:49:33,278.0,17.0,7.0,7.0,8.0,2.0,27.0,322,6.0,13,True,3.0,,,,,,,,,,,,
172,juspay/nixos-unified-template,juspay/nixos-unified-template,A ready-made Nix configuration to manage either your Home environment or whole NixOS systems.,nix-configurations,https://github.com/juspay/nixos-unified-template,https://github.com/juspay/nixos-unified-template,AGPL-3.0,2023-04-01 13:43:05,2025-09-14 15:14:23,2025-09-14 15:14:23,309.0,16.0,62.0,11.0,129.0,8.0,36.0,318,14.0,13,True,3.0,,,,,,,,,,,,
173,nixarr,rasmus-kirk/nixarr,The Media Server Nixos Module.,nixos-modules,https://github.com/rasmus-kirk/nixarr,https://github.com/rasmus-kirk/nixarr,GPL-3.0,2024-02-21 09:34:24,2025-08-19 11:11:33,2025-08-19 11:11:32,325.0,19.0,27.0,4.0,36.0,6.0,42.0,273,15.0,13,True,3.0,,,,,,,,,,,,
174,nvfetcher,berberman/nvfetcher,Generate nix sources expr for the latest version of packages.,development,https://github.com/berberman/nvfetcher,https://github.com/berberman/nvfetcher,MIT,2021-04-20 04:07:58,2024-11-25 04:41:30,2024-11-25 02:19:45,178.0,,17.0,3.0,72.0,20.0,46.0,238,15.0,13,True,3.0,2024-11-21 07:05:00,0.7.0,9.0,,,,,,,,,
175,nixpkgs-python,cachix/nixpkgs-python,"All Python versions, kept up-to-date on hourly basis using Nix.",programming-languages,https://github.com/cachix/nixpkgs-python,https://github.com/cachix/nixpkgs-python,Apache-2.0,2023-05-29 13:12:25,2025-09-13 23:41:45,2025-08-15 09:22:25,233.0,61.0,17.0,3.0,70.0,8.0,13.0,211,14.0,13,True,2.0,,,,,,,,['python'],,,,
176,process-compose-flake,Platonic-Systems/process-compose-flake,A flake-parts module to spin up processes for development by leveraging process-compose.,devops,https://github.com/Platonic-Systems/process-compose-flake,https://github.com/Platonic-Systems/process-compose-flake,MIT,2022-12-08 17:19:30,2025-06-09 09:23:17,2025-06-08 21:35:57,159.0,,23.0,9.0,56.0,12.0,22.0,154,15.0,13,True,2.0,2023-06-12 20:46:17,0.1.0,1.0,,,,,,,,,
177,ghc.nix,alpmestan/ghc.nix,Nix (shell) expression for working on GHC.,programming-languages,https://github.com/alpmestan/ghc.nix,https://github.com/alpmestan/ghc.nix,BSD-3-Clause,2018-04-18 19:54:21,2025-09-14 01:16:08,2024-06-10 15:01:25,271.0,,51.0,14.0,135.0,27.0,29.0,146,29.0,13,False,2.0,,,,,,,,['haskell'],,,,
